Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean
1,2000,-926291.1903550978,301.595,0.039,80.19
2,4000,-1014833.5043889728,550.506,0.017,90.52
3,6000,-1009367.429436851,961.556,0.0221,68.5
4,8000,-896790.1715006223,170.407,0.0503,94.09
5,10000,-1029241.1368229451,546.461,0.0176,91.06
6,12000,-929505.7914669078,158.819,0.0489,94.42
7,14000,-973021.3882855667,315.909,0.0299,89.88
8,16000,-963561.0987607175,382.462,0.0242,90.89
9,18000,-920068.5807856906,157.917,0.0495,94.27
10,20000,-1011378.2858227235,1278.301,0.0172,43.5
11,22000,-919380.0555969202,308.213,0.0292,91.16
12,24000,-941877.6232766014,295.845,0.0344,96.1
13,26000,-920409.0193107142,284.983,0.0294,90.34
14,28000,-919418.694728811,167.177,0.051,94.17
15,30000,-901196.25979448,187.953,0.0485,88.75
16,32000,-932033.459535614,316.2,0.0372,89.31
17,34000,-1080764.0782231132,435.97,0.0261,93.86
18,36000,-978557.8150745457,251.608,0.032,95.62
19,38000,-920588.4117138903,160.662,0.0508,94.22
20,40000,-1026993.6393296743,452.687,0.0206,95.33
21,42000,-944024.0874882013,1140.492,0.0328,39.91
22,44000,-949459.812476568,383.707,0.0495,76.35
23,46000,-1075073.074642692,470.541,0.0198,95.77
24,48000,-872657.0835829772,349.73,0.0473,80.85
25,50000,-903986.9655389544,1040.857,0.0513,39.9
26,52000,-912092.7438230257,1057.055,0.0498,38.62
27,54000,-892054.6604184092,193.366,0.0491,88.45
28,56000,-904569.3366789671,351.098,0.0517,79.5
29,58000,-897673.7066158924,238.132,0.0319,95.04
30,60000,-947918.3270015646,1056.505,0.053,38.71
31,62000,-961385.4960361233,162.38,0.0528,93.99
32,64000,-906473.8572096118,929.81,0.0498,46.13
33,66000,-958598.1993270067,184.82,0.0492,94.15
34,68000,-961342.802200372,388.196,0.0251,92.41
35,70000,-957546.8465371775,255.529,0.0334,94.51
36,72000,-1063217.7271637218,1283.668,0.0174,43.35
37,74000,-911279.9647522259,1057.911,0.0523,38.7
38,76000,-980929.7172304069,391.469,0.0235,90.45
39,78000,-1040793.4559810045,1246.437,0.0183,47.91
40,80000,-893176.1299028195,165.144,0.05,93.58
41,82000,-889202.0209132539,190.744,0.0486,88.31
42,84000,-922399.7536377086,184.697,0.0528,88.88
43,86000,-994311.6004078093,251.493,0.0335,95.24
44,88000,-950693.3575156038,170.707,0.0546,93.43
45,90000,-987768.9474142136,828.479,0.0335,57.59
46,92000,-967883.9411012356,294.202,0.0334,89.72
47,94000,-1025899.722399153,478.88,0.0171,96.53
48,96000,-879765.123020031,190.25,0.0496,88.14
49,98000,-932545.3290695029,668.075,0.0388,69.18
50,100000,-1060185.4377396025,1272.939,0.0185,43.68
51,102000,-948129.1864671429,1126.466,0.0312,40.72
52,104000,-904097.745236413,161.079,0.0519,94.0
53,106000,-888292.5431493137,166.561,0.0496,94.11
54,108000,-952205.6856316929,166.241,0.0518,94.2
55,110000,-999731.5946502374,1028.69,0.0307,49.06
56,112000,-931604.8784143298,207.859,0.0497,88.29
57,114000,-960606.4061176905,288.446,0.0318,89.74
58,116000,-943879.3355399392,1124.594,0.019,46.81
59,118000,-897347.6888836697,162.544,0.0502,94.18
60,120000,-902624.9351566248,660.811,0.0356,56.99
61,122000,-943935.0562151722,293.265,0.0296,94.34
62,124000,-936363.8607017979,255.771,0.034,92.41
63,126000,-957436.2309103337,165.245,0.0559,93.57
64,128000,-962602.8670990996,315.435,0.039,91.6
65,130000,-966835.083057248,167.573,0.0524,94.09
66,132000,-887609.9549714783,1052.676,0.0499,38.88
67,134000,-936759.4092881065,1128.363,0.0312,40.71
68,136000,-881006.4650482658,1040.175,0.0489,39.22
69,138000,-982278.5300922719,517.654,0.0161,93.21
70,140000,-895440.9598666524,163.638,0.05,94.06
71,142000,-979579.203631697,292.572,0.0402,87.33
72,144000,-962788.5527074938,248.873,0.0322,95.62
73,146000,-861075.3734877523,192.777,0.0494,88.24
74,148000,-959962.0594793038,1119.794,0.0317,39.13
75,150000,-918455.5781489741,158.522,0.0488,94.58
76,152000,-894459.6919511736,164.836,0.0509,93.85
77,154000,-858673.3165999632,266.767,0.045,86.07
