Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean,Loss,Epsilon,Density
1.0,2000.0,-331928.41853463853,552.845,0.0823,63.83,0.010175581364794,0.95,100.0
2.0,4000.0,-200593.1536145861,527.713,0.067,63.56,0.0020420172900876,0.9025,30.0
3.0,6000.0,-303073.3804135268,596.767,0.0802,61.01,0.0035031531645934,0.8573749999999999,50.0
4.0,8000.0,-303762.04990059644,591.908,0.0798,61.08,0.003893559963756,0.8145062499999999,50.0
5.0,10000.0,-196815.98222714156,523.144,0.0676,65.36,0.0025968013384154,0.7737809374999999,30.0
6.0,12000.0,-305665.72094739345,592.236,0.0797,63.01,0.0056266924700247,0.7350918906249998,50.0
7.0,14000.0,-918063.4510133069,1075.812,0.073,36.56,0.037572,0.7351,30.0
8.0,16000.0,-941202.1912317108,1090.102,0.0882,35.71,0.036069,0.6983,50.0
9.0,18000.0,-965340.2921288478,1075.812,0.073,36.56,0.034627,0.6634,30.0
10.0,20000.0,-1011388.1910653628,1090.102,0.0882,35.71,0.033242,0.6302,50.0
11.0,22000.0,-918269.4127888904,1092.442,0.0893,35.76,0.031912,0.5987,100.0
12.0,24000.0,-942160.7449320444,1075.812,0.073,36.56,0.030635,0.5688,30.0
13.0,26000.0,-874971.1105243872,1075.812,0.073,36.56,0.02941,0.5404,30.0
14.0,28000.0,-919418.7629391165,1092.442,0.0893,35.76,0.028234,0.5133,100.0
15.0,30000.0,-901173.6593791824,1075.812,0.073,36.56,0.027104,0.4877,30.0
16.0,32000.0,-901238.7943160706,1092.442,0.0893,35.76,0.02602,0.4633,100.0
17.0,34000.0,-983936.0048110863,1075.812,0.073,36.56,0.024979,0.4401,30.0
18.0,36000.0,-1032023.1182100668,1090.102,0.0882,35.71,0.02398,0.4181,50.0
19.0,38000.0,-922507.0463297656,1090.102,0.0882,35.71,0.023021,0.3972,50.0
20.0,40000.0,-970268.8648446896,1092.442,0.0893,35.76,0.0221,0.3774,100.0
21.0,42000.0,-898874.0158014667,1090.102,0.0882,35.71,0.021216,0.3585,50.0
22.0,44000.0,-997985.0735477626,1090.102,0.0882,35.71,0.020367,0.3406,50.0
23.0,46000.0,-1011795.1587167298,1090.102,0.0882,35.71,0.019553,0.3235,50.0
24.0,48000.0,-909860.7218179512,1075.812,0.073,36.56,0.018771,0.3074,30.0
25.0,50000.0,-903989.5713978416,1075.812,0.073,36.56,0.01802,0.292,30.0
26.0,52000.0,-909604.9622124314,1092.442,0.0893,35.76,0.017299,0.2774,100.0
27.0,54000.0,-890800.0549220969,1092.442,0.0893,35.76,0.016607,0.2635,100.0
28.0,56000.0,-950104.6857324346,1075.812,0.073,36.56,0.015943,0.2503,30.0
29.0,58000.0,-862333.3570831353,1090.102,0.0882,35.71,0.015305,0.2378,50.0
30.0,60000.0,-998369.2787899696,1075.812,0.073,36.56,0.014693,0.2259,30.0
31.0,62000.0,-1004085.8878292984,1090.102,0.0882,35.71,0.014105,0.2146,50.0
32.0,64000.0,-1008916.3781098071,1092.442,0.0893,35.76,0.013541,0.2039,100.0
33.0,66000.0,-946361.3982142116,1090.102,0.0882,35.71,0.012999,0.1937,50.0
34.0,68000.0,-891822.3304707748,1090.102,0.0882,35.71,0.012479,0.184,50.0
35.0,70000.0,-916600.478520788,1090.102,0.0882,35.71,0.01198,0.1748,50.0
36.0,72000.0,-1062868.8676582442,1075.812,0.073,36.56,0.011501,0.1661,30.0
37.0,74000.0,-949217.4876954248,1075.812,0.073,36.56,0.011041,0.1578,30.0
38.0,76000.0,-907773.7063824496,1090.102,0.0882,35.71,0.010599,0.1499,50.0
39.0,78000.0,-937790.8784949012,1092.442,0.0893,35.76,0.010175,0.1424,100.0
40.0,80000.0,-938498.9426865078,1075.812,0.073,36.56,0.009768,0.1353,30.0
41.0,82000.0,-990558.6235754596,1090.102,0.0882,35.71,0.009378,0.1285,50.0
42.0,84000.0,-955182.4527037712,1092.442,0.0893,35.76,0.009002,0.1221,100.0
43.0,86000.0,-994305.9840138156,1075.812,0.073,36.56,0.008642,0.116,30.0
44.0,88000.0,-948483.0674104524,1075.812,0.073,36.56,0.008297,0.1102,30.0
45.0,90000.0,-938334.24368677,1075.812,0.073,36.56,0.007965,0.1047,30.0
46.0,92000.0,-921220.9398539928,1090.102,0.0882,35.71,0.007646,0.0994,50.0
47.0,94000.0,-918917.4475868212,1075.812,0.073,36.56,0.00734,0.0945,30.0
48.0,96000.0,-981840.414759964,1075.812,0.073,36.56,0.007047,0.0897,30.0
49.0,98000.0,-950109.7883609273,1075.812,0.073,36.56,0.006765,0.0853,30.0
50.0,100000.0,-992709.4316213824,1090.102,0.0882,35.71,0.006494,0.081,50.0
51.0,102000.0,-902761.470936798,1090.102,0.0882,35.71,0.006235,0.0769,50.0
52.0,104000.0,-951021.4463214718,1092.442,0.0893,35.76,0.005985,0.0731,100.0
53.0,106000.0,-991135.595415786,1092.442,0.0893,35.76,0.005746,0.0694,100.0
54.0,108000.0,-1064765.3615176529,1090.102,0.0882,35.71,0.005516,0.066,50.0
55.0,110000.0,-936632.3354021412,1075.812,0.073,36.56,0.005295,0.0627,30.0
56.0,112000.0,-927464.8706830088,1090.102,0.0882,35.71,0.005083,0.0595,50.0
57.0,114000.0,-913638.7657065556,1090.102,0.0882,35.71,0.00488,0.0566,50.0
58.0,116000.0,-859829.761056939,1075.812,0.073,36.56,0.004685,0.0537,30.0
59.0,118000.0,-899029.277996574,1092.442,0.0893,35.76,0.004498,0.051,100.0
60.0,120000.0,-915807.3438331892,1075.812,0.073,36.56,0.004318,0.0485,30.0
61.0,122000.0,-898159.9513892073,1092.442,0.0893,35.76,0.004145,0.0461,100.0
62.0,124000.0,-971206.2135385912,1075.812,0.073,36.56,0.003979,0.0438,30.0
63.0,126000.0,-1047478.2195847426,1092.442,0.0893,35.76,0.00382,0.0416,100.0
64.0,128000.0,-925862.3483381128,1092.442,0.0893,35.76,0.003667,0.0395,100.0
65.0,130000.0,-966839.6189216386,1075.812,0.073,36.56,0.00352,0.0375,30.0
66.0,132000.0,-889555.8606659491,1075.812,0.073,36.56,0.00338,0.0356,30.0
67.0,134000.0,-996771.9381577668,1090.102,0.0882,35.71,0.003244,0.0339,50.0
68.0,136000.0,-926673.5041638408,1090.102,0.0882,35.71,0.003115,0.0322,50.0
69.0,138000.0,-882471.5311542071,1075.812,0.073,36.56,0.00299,0.0306,30.0
70.0,140000.0,-897625.4568551248,1090.102,0.0882,35.71,0.00287,0.029,50.0
71.0,142000.0,-947873.4811903676,1075.812,0.073,36.56,0.002756,0.0276,30.0
72.0,144000.0,-915060.3888948424,1075.812,0.073,36.56,0.002645,0.0262,30.0
73.0,146000.0,-959993.917291812,1090.102,0.0882,35.71,0.00254,0.0249,50.0
74.0,148000.0,-1019477.6170845884,1092.442,0.0893,35.76,0.002438,0.0236,100.0
75.0,150000.0,-961259.6531640772,1075.812,0.073,36.56,0.002341,0.0225,30.0
76.0,152000.0,-1000659.039831473,1092.442,0.0893,35.76,0.002247,0.0213,100.0
77.0,154000.0,-895650.6617148774,1090.102,0.0882,35.71,0.002157,0.0203,50.0
78.0,156000.0,-880009.0349790168,1092.442,0.0893,35.76,0.002071,0.0193,100.0
79.0,158000.0,-853694.3785404959,1075.812,0.073,36.56,0.001988,0.0183,30.0
80.0,160000.0,-850671.1471335337,1092.442,0.0893,35.76,0.001908,0.0174,100.0
81.0,162000.0,-985074.4695491056,1075.812,0.073,36.56,0.001832,0.0165,30.0
82.0,164000.0,-862694.8352006644,1090.102,0.0882,35.71,0.001759,0.0157,50.0
83.0,166000.0,-886332.6796427123,1075.812,0.073,36.56,0.001688,0.0149,30.0
84.0,168000.0,-1022660.7852834004,1092.442,0.0893,35.76,0.001621,0.0142,100.0
85.0,170000.0,-940401.8283821896,1075.812,0.073,36.56,0.001556,0.0135,30.0
86.0,172000.0,-868887.5374133962,1075.812,0.073,36.56,0.001494,0.0128,30.0
87.0,174000.0,-977407.8520144868,1092.442,0.0893,35.76,0.001434,0.0121,100.0
88.0,176000.0,-882711.8547066891,1092.442,0.0893,35.76,0.001377,0.0115,100.0
89.0,178000.0,-849547.1236722375,1090.102,0.0882,35.71,0.001322,0.011,50.0
90.0,180000.0,-947889.0699537538,1090.102,0.0882,35.71,0.001269,0.0104,50.0
91.0,182000.0,-920292.7275227978,1090.102,0.0882,35.71,0.001218,0.01,50.0
92.0,184000.0,-966196.936586233,1090.102,0.0882,35.71,0.001169,0.01,50.0
93.0,186000.0,-925160.7147647291,1092.442,0.0893,35.76,0.001123,0.01,100.0
94.0,188000.0,-962104.9634599576,1092.442,0.0893,35.76,0.001078,0.01,100.0
95.0,190000.0,-937451.0945721702,1075.812,0.073,36.56,0.001035,0.01,30.0
96.0,192000.0,-904656.3464442174,1075.812,0.073,36.56,0.000993,0.01,30.0
97.0,194000.0,-931699.1393792104,1075.812,0.073,36.56,0.000953,0.01,30.0
98.0,196000.0,-917164.9285697426,1075.812,0.073,36.56,0.000915,0.01,30.0
99.0,198000.0,-900575.9470660961,1092.442,0.0893,35.76,0.000879,0.01,100.0
100.0,200000.0,-931676.6445363554,1092.442,0.0893,35.76,0.000844,0.01,100.0
