Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean,Loss,Epsilon,Density
1,2000,-926759.800825098,166.163,0.0721,87.16,0.0,0.0,30
2,4000,-933530.4333644824,174.242,0.0873,85.95,0.0,0.0,50
3,6000,-945522.1529428856,174.242,0.0873,85.95,0.0,0.0,50
4,8000,-920570.1632667882,166.163,0.0721,87.16,0.0,0.0,30
5,10000,-946533.871141052,174.242,0.0873,85.95,0.0,0.0,50
6,12000,-954263.3610147508,175.4,0.0884,85.88,0.0,0.0,100
7,14000,-945004.2282617254,166.163,0.0721,87.16,0.0,0.0,30
8,16000,-921745.884085881,174.242,0.0873,85.95,0.0,0.0,50
9,18000,-944670.5352812,166.163,0.0721,87.16,0.0,0.0,30
10,20000,-929579.490815492,174.242,0.0873,85.95,0.0,0.0,50
11,22000,-899642.7993746317,175.4,0.0884,85.88,0.0,0.0,100
12,24000,-921854.4680135824,166.163,0.0721,87.16,0.0,0.0,30
13,26000,-900201.6521614107,166.163,0.0721,87.16,0.0,0.0,30
14,28000,-943272.6942681968,175.4,0.0884,85.88,0.0,0.0,100
15,30000,-923534.7463024613,166.163,0.0721,87.16,0.0,0.0,30
16,32000,-926379.7547798872,175.4,0.0884,85.88,0.0,0.0,100
17,34000,-1006334.9313630206,166.163,0.0721,87.16,0.0,0.0,30
18,36000,-956840.0368761464,174.242,0.0873,85.95,0.0,0.0,50
19,38000,-945930.001877633,174.242,0.0873,85.95,0.0,0.0,50
20,40000,-948674.8959877284,175.4,0.0884,85.88,0.0,0.0,100
21,42000,-922375.3801798202,174.242,0.0873,85.95,0.0,0.0,50
22,44000,-969186.404580168,174.242,0.0873,85.95,0.0,0.0,50
23,46000,-988213.1869174308,174.242,0.0873,85.95,0.0,0.0,50
24,48000,-889219.9743255292,166.163,0.0721,87.16,0.0,0.0,30
25,50000,-929007.960329375,166.163,0.0721,87.16,0.0,0.0,30
26,52000,-934597.7508846584,175.4,0.0884,85.88,0.0,0.0,100
27,54000,-912809.8870424458,175.4,0.0884,85.88,0.0,0.0,100
28,56000,-928633.0756330056,166.163,0.0721,87.16,0.0,0.0,30
29,58000,-882767.4161066423,174.242,0.0873,85.95,0.0,0.0,50
30,60000,-974231.0288288392,166.163,0.0721,87.16,0.0,0.0,30
31,62000,-986020.3189905182,174.242,0.0873,85.95,0.0,0.0,50
32,64000,-925129.910475358,175.4,0.0884,85.88,0.0,0.0,100
33,66000,-972701.470741924,174.242,0.0873,85.95,0.0,0.0,50
34,68000,-912726.2891070966,174.242,0.0873,85.95,0.0,0.0,50
35,70000,-938642.293027938,174.242,0.0873,85.95,0.0,0.0,50
36,72000,-973096.6433405996,166.163,0.0721,87.16,0.0,0.0,30
37,74000,-935417.0502457008,166.163,0.0721,87.16,0.0,0.0,30
38,76000,-928727.039212563,174.242,0.0873,85.95,0.0,0.0,50
39,78000,-954657.5899113582,175.4,0.0884,85.88,0.0,0.0,100
40,80000,-915995.5269161928,166.163,0.0721,87.16,0.0,0.0,30
41,82000,-909454.7223460326,174.242,0.0873,85.95,0.0,0.0,50
42,84000,-947002.2512762474,175.4,0.0884,85.88,0.0,0.0,100
43,86000,-969880.4178614157,166.163,0.0721,87.16,0.0,0.0,30
44,88000,-973915.2805857812,166.163,0.0721,87.16,0.0,0.0,30
45,90000,-962520.8504637592,166.163,0.0721,87.16,0.0,0.0,30
46,92000,-942775.6748824568,174.242,0.0873,85.95,0.0,0.0,50
47,94000,-939603.8333142678,166.163,0.0721,87.16,0.0,0.0,30
48,96000,-899391.4039057918,166.163,0.0721,87.16,0.0,0.0,30
49,98000,-925203.799784042,166.163,0.0721,87.16,0.0,0.0,30
50,100000,-966516.411916743,174.242,0.0873,85.95,0.0,0.0,50
51,102000,-924389.8507401084,174.242,0.0873,85.95,0.0,0.0,50
