Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean
1,2000,-926138.0610143694,301.24,0.0391,80.15
2,4000,-932811.0241716215,302.21,0.0405,79.65
3,6000,-919259.7035661442,166.748,0.0517,94.02
4,8000,-896787.8619265971,1066.109,0.0503,38.24
5,10000,-919772.0576890903,1059.888,0.0522,38.75
6,12000,-1036349.4373033713,481.045,0.0161,96.78
7,14000,-918066.6863681816,161.05,0.0518,94.07
8,16000,-896261.0753007398,164.091,0.0497,94.15
9,18000,-1027416.7649100543,480.723,0.0164,96.8
10,20000,-905605.4678838226,167.465,0.0505,93.94
11,22000,-918269.2388647028,246.248,0.0295,96.08
12,24000,-896341.5837550135,1058.97,0.0502,38.42
13,26000,-877770.598998466,1055.345,0.0477,38.56
14,28000,-919415.6315190564,164.987,0.051,94.26
15,30000,-900540.7764568585,187.071,0.0488,88.76
16,32000,-946856.1164759105,1134.977,0.0312,39.99
17,34000,-1030422.1070290284,297.825,0.0365,89.07
18,36000,-978559.5360682146,251.781,0.032,95.61
19,38000,-920589.1946998581,160.723,0.0508,94.21
20,40000,-1035031.1251909632,550.097,0.0181,90.64
21,42000,-896751.6865117983,1066.729,0.0529,37.78
22,44000,-1055084.4039870205,481.514,0.0172,96.73
23,46000,-960427.0696611428,193.243,0.0552,87.95
24,48000,-867492.9884746342,163.976,0.0494,94.17
25,50000,-903980.1383047209,160.581,0.0513,94.11
26,52000,-956078.4526724991,289.723,0.0317,89.89
27,54000,-934009.6642465934,249.574,0.0313,95.79
28,56000,-906063.7297913521,198.143,0.051,88.09
29,58000,-902460.8924820648,246.309,0.03,95.75
30,60000,-947909.6277285473,157.557,0.053,93.93
31,62000,-1010370.9054411541,1140.975,0.0333,40.22
32,64000,-902709.2432775326,165.272,0.0512,93.96
33,66000,-946360.5541581291,1049.932,0.0528,39.11
34,68000,-993463.2930444618,1274.736,0.0165,43.64
35,70000,-962183.4533414207,253.083,0.0316,95.68
36,72000,-1063210.8444905179,482.755,0.0174,96.54
37,74000,-958330.4362198632,291.52,0.0327,89.76
38,76000,-907774.7532528137,1065.434,0.0492,38.61
39,78000,-930634.5452614756,169.675,0.0531,93.77
40,80000,-997532.9071518031,480.278,0.0164,96.76
41,82000,-931751.3472187471,248.864,0.0307,95.74
42,84000,-925050.2171484053,191.705,0.0515,88.0
43,86000,-994305.1769975444,1127.629,0.0335,40.61
44,88000,-948479.5512026575,1081.109,0.0556,37.43
45,90000,-940352.9481827876,164.587,0.0526,93.72
46,92000,-967884.6460097382,253.77,0.0334,95.49
47,94000,-916617.1587820804,158.794,0.0513,94.03
48,96000,-879763.9505025164,190.443,0.0496,88.11
49,98000,-902311.4868655222,163.45,0.0517,93.91
50,100000,-993731.472647855,294.58,0.0347,89.34
51,102000,-902760.0454801255,188.704,0.0501,88.34
52,104000,-906235.1469050643,162.956,0.0509,94.05
53,106000,-885858.312650798,193.006,0.0507,88.07
54,108000,-951894.1048619202,164.479,0.0518,93.97
55,110000,-986376.3075746597,250.792,0.0338,95.41
56,112000,-971791.2673908772,250.621,0.033,95.45
57,114000,-915653.8805789418,160.862,0.0505,94.18
58,116000,-858108.4148434775,163.831,0.0483,94.45
59,118000,-941737.8999658017,289.625,0.0315,89.8
60,120000,-870601.3527871562,1047.313,0.0493,38.34
61,122000,-1000546.8086469627,544.687,0.016,91.33
62,124000,-900677.2196303724,163.121,0.0497,94.3
63,126000,-1008086.4892556885,249.151,0.0354,95.32
64,128000,-925856.9731200858,190.523,0.053,87.89
65,130000,-1014668.2330510247,292.189,0.0332,89.81
66,132000,-889565.681458993,160.498,0.049,94.2
67,134000,-996760.4972666493,481.649,0.0166,96.65
68,136000,-881000.2073647538,153.926,0.0489,94.21
69,138000,-882479.2311609366,159.381,0.0484,94.37
70,140000,-941067.5519766732,250.94,0.0309,95.68
71,142000,-945733.2320561678,190.997,0.0531,88.15
72,144000,-915061.4894144355,1039.477,0.052,39.44
73,146000,-861500.7232454893,1051.878,0.0492,38.97
74,148000,-912561.643750093,1053.252,0.05,38.82
75,150000,-961258.0908025727,243.845,0.0312,95.99
76,152000,-940581.2763771666,252.949,0.0313,95.44
77,154000,-855532.4931478673,160.401,0.0464,94.47
78,156000,-877658.9250329541,159.717,0.0496,94.32
79,158000,-853689.589528788,1061.138,0.048,38.59
80,160000,-949014.0677346018,546.604,0.0162,90.96
81,162000,-939024.4140447862,191.391,0.0508,88.35
82,164000,-904969.4680855968,248.694,0.0305,95.65
83,166000,-928988.9605471607,295.317,0.0313,89.78
84,168000,-912685.0569735433,184.895,0.0514,88.12
85,170000,-893490.6481951374,183.561,0.0487,88.62
86,172000,-870976.4266123635,194.526,0.0488,88.43
87,174000,-981431.9960173966,546.389,0.0163,90.95
88,176000,-983871.241831146,1274.575,0.017,43.58
89,178000,-849555.5524583338,160.157,0.0484,94.41
90,180000,-947702.2698568715,190.452,0.0524,88.38
91,182000,-877186.1192737705,164.671,0.0502,93.98
92,184000,-1029038.3603075873,482.834,0.0173,96.54
93,186000,-972947.8257488076,1140.092,0.0321,39.89
94,188000,-916223.9952301148,164.034,0.0514,94.12
95,190000,-881756.6013173142,245.218,0.0297,95.79
96,192000,-904649.7830994584,191.933,0.049,88.35
97,194000,-929570.4954449036,163.139,0.0524,94.02
98,196000,-877689.7014255638,165.635,0.0492,94.16
99,198000,-899597.9387430671,159.946,0.0489,94.21
100,200000,-899871.1635328081,194.016,0.052,88.11
