Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean
1,2000,-925508.407975689,296.441,0.0393,80.56
2,4000,-932045.5363209326,297.519,0.0408,79.98
3,6000,-944073.4922618979,303.012,0.0416,79.91
4,8000,-918947.2652537989,303.608,0.0411,79.9
5,10000,-944676.697256176,304.107,0.042,79.83
6,12000,-952149.3335013619,288.856,0.0398,80.29
7,14000,-942770.927947363,293.204,0.0416,79.94
8,16000,-919503.4641386521,296.066,0.04,79.92
9,18000,-941944.4908752203,289.413,0.0407,79.72
10,20000,-926851.6200951572,297.959,0.0418,79.43
11,22000,-896858.9320962798,287.36,0.0387,80.31
12,24000,-918696.2042766494,290.798,0.0408,79.63
13,26000,-896893.7706456298,284.971,0.0396,79.8
14,28000,-939679.2077334651,293.24,0.0425,79.67
15,30000,-919870.9865836066,286.267,0.0407,79.87
16,32000,-922358.8276639292,288.351,0.0414,79.34
17,34000,-1001030.6173487193,300.738,0.0481,78.67
18,36000,-951733.1383455562,289.447,0.0431,79.53
19,38000,-940924.240264266,287.632,0.0423,79.43
20,40000,-943127.5765998991,293.342,0.0454,78.53
21,42000,-916572.2163155358,291.291,0.0444,78.74
22,44000,-962909.7562898016,286.964,0.0438,79.05
23,46000,-981110.376766401,287.561,0.0468,78.81
24,48000,-882754.6777879082,284.37,0.0428,78.83
25,50000,-921837.0099522778,281.264,0.0437,78.87
26,52000,-927010.7863660504,284.412,0.0437,78.76
27,54000,-905184.2647837665,280.168,0.0435,78.86
28,56000,-920419.212688791,288.566,0.045,78.39
29,58000,-874955.2641991265,278.801,0.0417,78.7
30,60000,-964316.3229144064,274.16,0.0462,78.34
31,62000,-975332.0587803517,277.407,0.0472,78.06
32,64000,-915191.9336630503,281.29,0.0459,77.89
33,66000,-961440.7578213402,274.981,0.0465,78.2
34,68000,-902578.7345832642,276.444,0.0443,78.1
35,70000,-927174.9860070244,276.975,0.0461,77.8
36,72000,-960572.7598586275,274.565,0.0477,77.38
37,74000,-923442.8732902643,280.145,0.0471,77.62
38,76000,-916783.5123449825,274.828,0.0454,77.72
39,78000,-941582.9564411348,282.633,0.0485,77.17
40,80000,-903211.3245736323,271.923,0.0456,77.67
41,82000,-896580.9671297036,271.798,0.0454,77.16
42,84000,-932386.1759884473,271.21,0.0484,76.98
43,86000,-955036.5900974487,273.347,0.0493,76.98
44,88000,-957845.2998997052,280.748,0.0517,76.17
45,90000,-946960.830088254,273.897,0.0499,76.41
46,92000,-927009.0697040799,277.538,0.0503,76.47
47,94000,-924172.7593649774,268.371,0.0481,76.34
48,96000,-884332.9577066854,267.684,0.0477,76.27
49,98000,-909291.6350960566,270.921,0.0487,76.19
50,100000,-948942.0232248696,275.507,0.0528,75.71
51,102000,-908787.4112789547,268.47,0.0475,76.24
52,104000,-909891.8835568101,268.661,0.0493,75.87
53,106000,-891433.3623064046,274.701,0.0482,75.62
54,108000,-955285.650308238,271.506,0.0505,75.63
55,110000,-941955.6882803943,274.016,0.0519,75.49
56,112000,-930236.6630153047,276.939,0.05,75.6
57,114000,-918164.8205597586,268.378,0.0495,75.41
58,116000,-861987.3103939404,272.063,0.0466,75.86
59,118000,-900927.5691803098,272.067,0.0486,75.4
60,120000,-874650.435492795,265.872,0.0474,75.1
61,122000,-899868.0947827761,265.404,0.0476,75.33
62,124000,-901979.0902892306,270.904,0.0492,75.05
63,126000,-961124.0820334208,276.002,0.0544,74.62
64,128000,-929405.1533508748,276.364,0.0515,74.26
65,130000,-967898.0069227528,277.693,0.0521,74.64
66,132000,-890597.5236537344,269.388,0.0486,74.74
67,134000,-893887.9286073196,271.924,0.0491,74.55
68,136000,-884069.5354549756,262.978,0.0475,74.61
69,138000,-885136.163108221,270.062,0.0472,74.73
70,140000,-898074.7924517926,275.946,0.0488,74.1
71,142000,-948369.4364573559,276.116,0.052,74.22
72,144000,-917512.3331844623,273.21,0.051,74.19
73,146000,-861862.1667589068,276.893,0.0491,74.09
74,148000,-914930.3026700068,270.926,0.049,74.1
75,150000,-918942.8554278032,274.045,0.0487,74.18
76,152000,-896515.3819308094,280.061,0.0499,73.54
77,154000,-855118.5968647918,272.239,0.0467,73.99
78,156000,-879643.3740116415,274.047,0.0487,74.0
79,158000,-855405.9642386214,276.157,0.0472,74.03
80,160000,-852288.4689100205,274.701,0.0479,73.64
81,162000,-938752.1088857623,276.594,0.0509,73.69
82,164000,-864269.94426018,278.949,0.0481,73.6
83,166000,-885923.8577350721,284.627,0.0498,73.57
84,168000,-914412.6823447782,272.671,0.0506,73.29
85,170000,-894902.6798838272,269.197,0.0481,74.1
86,172000,-870387.8763375003,280.866,0.0491,73.74
87,174000,-879235.7948859383,277.673,0.0488,73.43
88,176000,-882283.7301953593,287.972,0.0497,73.43
89,178000,-850858.3597681617,277.813,0.0478,73.68
90,180000,-948982.0356937454,276.509,0.0519,74.08
91,182000,-876298.867849201,276.074,0.0507,73.42
92,184000,-920342.6642473709,277.52,0.0513,73.66
93,186000,-926425.1592307459,273.441,0.0511,73.68
94,188000,-917325.0988720304,277.862,0.0509,73.88
95,190000,-842648.8853423737,269.576,0.0467,74.23
96,192000,-903561.0218642681,271.029,0.0496,74.19
97,194000,-930728.1345452773,272.279,0.0519,74.1
98,196000,-876643.8150691189,270.811,0.0498,74.27
99,198000,-898485.5502175997,263.341,0.0495,74.51
100,200000,-900861.8028193462,272.621,0.0515,74.51
