Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean,Loss,Epsilon,Density
1,2000,-929339.4293447222,293.213,0.0584,85.74,0.048,1.0,30
2,4000,-935989.8926488442,318.385,0.0726,83.12,0.04608,0.95,50
3,6000,-948156.2037951836,318.385,0.0726,83.12,0.044237,0.9025,50
4,8000,-923608.443582578,293.213,0.0584,85.74,0.042467,0.8574,30
5,10000,-949848.6340214416,318.385,0.0726,83.12,0.040769,0.8145,50
6,12000,-957600.1929369837,312.72,0.0737,83.19,0.039138,0.7738,100
7,14000,-948266.8954909656,293.213,0.0584,85.74,0.037572,0.7351,30
8,16000,-925011.9846144976,318.385,0.0726,83.12,0.036069,0.6983,50
9,18000,-947241.3754669584,293.213,0.0584,85.74,0.034627,0.6634,30
10,20000,-932759.3697867852,318.385,0.0726,83.12,0.033242,0.6302,50
11,22000,-901913.7819004116,312.72,0.0737,83.19,0.031912,0.5987,100
12,24000,-924744.314007514,293.213,0.0584,85.74,0.030635,0.5688,30
13,26000,-903583.9798748416,293.213,0.0584,85.74,0.02941,0.5404,30
14,28000,-947255.16477197,312.72,0.0737,83.19,0.028234,0.5133,100
15,30000,-925589.760344109,293.213,0.0584,85.74,0.027104,0.4877,30
16,32000,-929741.0627066756,312.72,0.0737,83.19,0.02602,0.4633,100
17,34000,-1011853.7600171014,293.213,0.0584,85.74,0.024979,0.4401,30
18,36000,-960062.6474070798,318.385,0.0726,83.12,0.02398,0.4181,50
19,38000,-949492.7353750146,318.385,0.0726,83.12,0.023021,0.3972,50
20,40000,-952726.9626615642,312.72,0.0737,83.19,0.0221,0.3774,100
21,42000,-925497.6499006764,318.385,0.0726,83.12,0.021216,0.3585,50
22,44000,-973489.96680846,318.385,0.0726,83.12,0.020367,0.3406,50
23,46000,-993251.490237852,318.385,0.0726,83.12,0.019553,0.3235,50
24,48000,-892775.1732441519,293.213,0.0584,85.74,0.018771,0.3074,30
25,50000,-933376.7347949616,293.213,0.0584,85.74,0.01802,0.292,30
26,52000,-938732.9346264532,312.72,0.0737,83.19,0.017299,0.2774,100
27,54000,-917260.4561247928,312.72,0.0737,83.19,0.016607,0.2635,100
28,56000,-933827.6552445376,293.213,0.0584,85.74,0.015943,0.2503,30
29,58000,-887000.6581554883,318.385,0.0726,83.12,0.015305,0.2378,50
30,60000,-979336.6761323678,293.213,0.0584,85.74,0.014693,0.2259,30
31,62000,-991413.5298843536,318.385,0.0726,83.12,0.014105,0.2146,50
32,64000,-929851.826714333,312.72,0.0737,83.19,0.013541,0.2039,100
33,66000,-977904.5790893912,318.385,0.0726,83.12,0.012999,0.1937,50
34,68000,-917272.6660846506,318.385,0.0726,83.12,0.012479,0.184,50
35,70000,-943728.551024312,318.385,0.0726,83.12,0.01198,0.1748,50
36,72000,-978820.0813292149,293.213,0.0584,85.74,0.011501,0.1661,30
37,74000,-941504.2767741784,293.213,0.0584,85.74,0.011041,0.1578,30
38,76000,-934414.4607995102,318.385,0.0726,83.12,0.010599,0.1499,50
39,78000,-960375.81277244,312.72,0.0737,83.19,0.010175,0.1424,100
40,80000,-921217.4223419032,293.213,0.0584,85.74,0.009768,0.1353,30
41,82000,-914541.6092207476,318.385,0.0726,83.12,0.009378,0.1285,50
42,84000,-953143.5131770693,312.72,0.0737,83.19,0.009002,0.1221,100
43,86000,-977136.5199796763,293.213,0.0584,85.74,0.008642,0.116,30
44,88000,-980346.8445668488,293.213,0.0584,85.74,0.008297,0.1102,30
45,90000,-969168.9650101534,293.213,0.0584,85.74,0.007965,0.1047,30
46,92000,-948601.1803462034,318.385,0.0726,83.12,0.007646,0.0994,50
47,94000,-946781.8385595236,293.213,0.0584,85.74,0.00734,0.0945,30
48,96000,-905568.9894798452,293.213,0.0584,85.74,0.007047,0.0897,30
49,98000,-931370.0757100346,293.213,0.0584,85.74,0.006765,0.0853,30
50,100000,-974745.200370486,318.385,0.0726,83.12,0.006494,0.081,50
51,102000,-931799.804731799,318.385,0.0726,83.12,0.006235,0.0769,50
52,104000,-932872.5757427072,312.72,0.0737,83.19,0.005985,0.0731,100
53,106000,-914146.6160076602,312.72,0.0737,83.19,0.005746,0.0694,100
54,108000,-980834.4818973676,318.385,0.0726,83.12,0.005516,0.066,50
55,110000,-967699.1462888094,293.213,0.0584,85.74,0.005295,0.0627,30
56,112000,-954895.6612990936,318.385,0.0726,83.12,0.005083,0.0595,50
57,114000,-943070.912390511,318.385,0.0726,83.12,0.00488,0.0566,50
58,116000,-884599.3050834632,293.213,0.0584,85.74,0.004685,0.0537,30
59,118000,-925714.0658426574,312.72,0.0737,83.19,0.004498,0.051,100
60,120000,-898773.4772766684,293.213,0.0584,85.74,0.004318,0.0485,30
61,122000,-924187.566628532,312.72,0.0737,83.19,0.004145,0.0461,100
62,124000,-927406.2993412508,293.213,0.0584,85.74,0.003979,0.0438,30
63,126000,-990492.5594812258,312.72,0.0737,83.19,0.00382,0.0416,100
64,128000,-964411.7503531604,312.72,0.0737,83.19,0.003667,0.0395,100
65,130000,-999813.9116143108,293.213,0.0584,85.74,0.00352,0.0375,30
66,132000,-911799.5295752127,293.213,0.0584,85.74,0.00338,0.0356,30
67,134000,-914607.4415236284,318.385,0.0726,83.12,0.003244,0.0339,50
68,136000,-903064.881500597,318.385,0.0726,83.12,0.003115,0.0322,50
69,138000,-904699.065183529,293.213,0.0584,85.74,0.00299,0.0306,30
70,140000,-916033.94831125,318.385,0.0726,83.12,0.00287,0.029,50
71,142000,-966345.849556647,293.213,0.0584,85.74,0.002756,0.0276,30
72,144000,-936675.8313130185,293.213,0.0584,85.74,0.002645,0.0262,30
73,146000,-880897.4546258156,318.385,0.0726,83.12,0.00254,0.0249,50
74,148000,-933456.5974325064,312.72,0.0737,83.19,0.002438,0.0236,100
75,150000,-935121.0794189912,293.213,0.0584,85.74,0.002341,0.0225,30
76,152000,-913450.8975445617,312.72,0.0737,83.19,0.002247,0.0213,100
77,154000,-867927.3366370131,318.385,0.0726,83.12,0.002157,0.0203,50
78,156000,-893609.1319491698,312.72,0.0737,83.19,0.002071,0.0193,100
79,158000,-870841.229296949,293.213,0.0584,85.74,0.001988,0.0183,30
80,160000,-865726.4589542631,312.72,0.0737,83.19,0.001908,0.0174,100
81,162000,-951351.3549530982,293.213,0.0584,85.74,0.001832,0.0165,30
82,164000,-880248.2359138753,318.385,0.0726,83.12,0.001759,0.0157,50
83,166000,-900619.341367539,293.213,0.0584,85.74,0.001688,0.0149,30
84,168000,-930144.5854369056,312.72,0.0737,83.19,0.001621,0.0142,100
85,170000,-909592.3197885586,293.213,0.0584,85.74,0.001556,0.0135,30
86,172000,-885708.0679798631,293.213,0.0584,85.74,0.001494,0.0128,30
87,174000,-894910.1264267915,312.72,0.0737,83.19,0.001434,0.0121,100
88,176000,-896331.1687286176,312.72,0.0737,83.19,0.001377,0.0115,100
89,178000,-865655.6618055323,318.385,0.0726,83.12,0.001322,0.011,50
90,180000,-964469.5816788416,318.385,0.0726,83.12,0.001269,0.0104,50
91,182000,-889714.1272074159,318.385,0.0726,83.12,0.001218,0.01,50
92,184000,-934512.0359050534,318.385,0.0726,83.12,0.001169,0.01,50
93,186000,-938792.5545048706,312.72,0.0737,83.19,0.001123,0.01,100
94,188000,-931134.4753974988,312.72,0.0737,83.19,0.001078,0.01,100
95,190000,-853687.1855873053,293.213,0.0584,85.74,0.001035,0.01,30
96,192000,-916501.7346849444,293.213,0.0584,85.74,0.000993,0.01,30
97,194000,-942011.6303377463,293.213,0.0584,85.74,0.000953,0.01,30
98,196000,-890352.8076121251,293.213,0.0584,85.74,0.000915,0.01,30
99,198000,-910118.779838876,312.72,0.0737,83.19,0.000879,0.01,100
100,200000,-913323.229281602,312.72,0.0737,83.19,0.000844,0.01,100
