Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean,Loss,Epsilon,Density
1,2000,-1136616.1080078618,341.957,0.0994,79.13,0.123141,1.0,100
2,4000,-1060645.783623181,331.851,0.0745,81.3,0.116112,0.95,30
3,6000,-1088226.3687549373,326.577,0.0833,79.76,0.110358,0.9025,50
4,8000,-1084044.0742532923,322.173,0.0833,80.45,0.105123,0.857375,50
5,10000,-1057206.4108185705,317.981,0.0726,81.4,0.104387,0.814506,30
6,12000,-1072977.3714906494,316.812,0.0831,81.02,0.09712,0.773781,50
7,14000,-1114708.7005952676,336.227,0.0971,79.01,0.091359,0.735092,100
8,16000,-1044105.0830469334,311.924,0.068,82.11,0.085997,0.698337,30
9,18000,-1068059.4812445948,313.912,0.0815,81.87,0.085992,0.66342,50
10,20000,-1045589.3264103619,303.39,0.0736,83.45,0.079344,0.630249,30
11,22000,-1049101.077694674,305.567,0.08,82.86,0.077882,0.598737,50
12,24000,-1095273.23943165,310.496,0.0955,81.0,0.07572,0.5688,100
13,26000,-1021770.6728702232,294.729,0.0686,83.52,0.069687,0.54036,30
14,28000,-1023940.0311317369,291.679,0.0726,84.6,0.070303,0.513342,30
15,30000,-1098288.160845461,309.497,0.0953,82.52,0.065407,0.487675,100
16,32000,-1020765.7037969475,284.959,0.0695,85.1,0.063563,0.463291,30
17,34000,-1080651.2790500764,297.2,0.0978,82.13,0.05885,0.440127,100
18,36000,-999774.2778424715,280.499,0.0702,85.46,0.055785,0.41812,30
19,38000,-1018810.6487652829,281.69,0.0779,84.91,0.054603,0.397214,50
20,40000,-1012968.2231678094,274.902,0.0795,85.43,0.049219,0.377354,50
21,42000,-1057423.1252225551,277.872,0.093,83.38,0.047162,0.358486,100
22,44000,-1001750.5263749622,272.883,0.0787,86.27,0.048753,0.340562,50
23,46000,-996948.6457817998,260.976,0.0782,87.74,0.042159,0.323534,50
24,48000,-987332.6782847791,256.659,0.0755,87.45,0.044746,0.307357,50
25,50000,-962691.6930778988,243.862,0.0703,87.55,0.043963,0.291989,30
26,52000,-962214.3635116534,239.24,0.0661,88.67,0.045085,0.27739,30
27,54000,-1028719.4876137673,254.193,0.0898,86.23,0.036008,0.26352,100
28,56000,-1024788.4696699383,246.529,0.091,86.76,0.040692,0.250344,100
29,58000,-942798.2879058238,235.674,0.0631,89.81,0.036603,0.237827,30
30,60000,-957416.0879028294,226.334,0.0734,89.34,0.036339,0.225936,50
31,62000,-932300.1117939678,223.57,0.0644,90.54,0.033971,0.214639,30
32,64000,-945626.6274696661,230.626,0.0764,89.18,0.030799,0.203907,50
33,66000,-989316.8495813436,232.376,0.0925,87.7,0.029097,0.193711,100
34,68000,-942235.2690583651,218.678,0.0787,90.32,0.030748,0.184026,50
35,70000,-932920.6835259575,208.392,0.0745,90.94,0.027074,0.174825,50
36,72000,-917387.3465143328,208.085,0.0773,90.94,0.02949,0.166083,50
37,74000,-906243.6434629692,196.1,0.062,92.62,0.02812,0.157779,30
38,76000,-907818.7200073857,198.04,0.0638,92.25,0.027376,0.14989,30
39,78000,-916145.210287764,201.318,0.0741,91.33,0.02418,0.142396,50
40,80000,-968152.8206290082,201.232,0.0888,90.25,0.025011,0.135276,100
