Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean
1,2000,-925506.298957842,292.443,0.0393,81.24
2,4000,-931532.3696063012,300.377,0.041,79.37
3,6000,-942802.8436347051,303.006,0.042,79.44
4,8000,-918638.3573190799,303.271,0.0412,79.78
5,10000,-946026.9872725685,308.884,0.0415,79.77
6,12000,-952456.1304340984,295.827,0.0397,79.58
7,14000,-944093.5205043339,303.449,0.0411,79.07
8,16000,-919971.561904765,307.018,0.0398,78.81
9,18000,-944551.2475726746,302.012,0.0397,79.03
10,20000,-927934.6074628363,300.701,0.0413,79.52
11,22000,-898578.0586768285,290.036,0.038,80.71
12,24000,-920690.5411559634,296.754,0.04,79.75
13,26000,-899690.0774021669,297.888,0.0384,79.34
14,28000,-941955.8753721949,300.409,0.0416,79.64
15,30000,-922940.2383747696,295.416,0.0395,80.11
16,32000,-926453.8496516505,300.198,0.0398,79.42
17,34000,-1006156.3653175017,311.521,0.0462,79.02
18,36000,-955922.17060679,296.856,0.0414,80.37
19,38000,-945575.1889069736,298.999,0.0405,79.87
20,40000,-948179.5135828619,306.686,0.0434,78.81
21,42000,-921961.05212419,303.82,0.0422,79.41
22,44000,-968862.6940073987,294.854,0.0415,80.44
23,46000,-987425.8382502493,300.648,0.0444,79.47
24,48000,-889157.094044211,292.216,0.0401,80.6
25,50000,-929330.8770896965,297.327,0.0407,79.89
26,52000,-934628.8313796881,298.48,0.0407,79.96
27,54000,-913230.3137239742,300.939,0.0402,79.46
28,56000,-930090.7552597444,307.687,0.0411,79.74
29,58000,-882690.2536669705,300.872,0.0385,79.23
30,60000,-974903.5558060544,287.342,0.0421,80.78
31,62000,-986406.9671917051,292.029,0.043,80.35
32,64000,-925793.6083226969,307.882,0.0416,78.64
33,66000,-973821.1631090586,293.728,0.0416,80.44
34,68000,-913591.4462345067,292.817,0.0398,80.63
35,70000,-938933.5324809148,305.356,0.0413,78.77
36,72000,-974675.5160964852,304.226,0.0422,78.83
37,74000,-936796.1841244372,302.29,0.0417,79.84
38,76000,-929490.1528938211,299.044,0.0403,79.76
39,78000,-955578.4475054146,309.811,0.0429,78.83
40,80000,-917597.0353977551,302.265,0.0397,79.69
41,82000,-910238.7374933813,300.763,0.0398,79.05
42,84000,-948104.2444536575,294.144,0.042,79.89
43,86000,-971169.3025679193,292.524,0.0429,80.38
44,88000,-975342.2143993726,301.935,0.0447,79.6
45,90000,-964992.8613027158,298.844,0.0428,79.63
46,92000,-945714.6890096504,308.251,0.0427,79.41
47,94000,-942396.5436447039,295.213,0.0408,79.78
48,96000,-901509.2041866945,301.668,0.0404,79.0
49,98000,-928013.017405987,303.782,0.0409,79.29
50,100000,-969895.2674198477,306.231,0.0444,78.97
51,102000,-927447.0317043513,298.253,0.0399,79.92
52,104000,-929738.7589886325,302.063,0.0411,79.35
53,106000,-909658.5954960046,305.902,0.0406,78.71
54,108000,-975197.8159737235,316.736,0.0426,76.88
55,110000,-963045.0654938946,308.736,0.0434,78.64
56,112000,-950950.7800267157,302.879,0.0416,79.97
57,114000,-938413.9537932089,297.11,0.0411,79.55
58,116000,-879682.8588869708,293.689,0.039,80.6
59,118000,-921202.0344403667,307.048,0.0402,78.86
60,120000,-893781.2083943479,289.243,0.0392,80.22
61,122000,-920100.0693607178,295.902,0.0391,79.68
62,124000,-922296.8887788953,300.645,0.0407,79.31
63,126000,-984677.6601172283,305.827,0.0449,79.0
64,128000,-951961.4869493783,297.687,0.0424,79.7
65,130000,-990993.151754002,303.672,0.0428,79.47
66,132000,-912802.9106248252,300.886,0.0394,79.73
67,134000,-915463.9865012813,301.856,0.0401,79.21
68,136000,-905134.8061536693,287.188,0.0387,80.22
69,138000,-905373.9132388867,291.344,0.0386,80.41
70,140000,-919556.5285367168,292.019,0.0399,80.61
71,142000,-971904.0553857844,302.229,0.0424,79.3
72,144000,-940507.7893143297,297.132,0.0415,79.84
73,146000,-883024.6972583086,301.997,0.0398,79.69
74,148000,-937487.5600809235,292.84,0.0396,80.17
75,150000,-941060.7858455929,297.633,0.0396,79.82
76,152000,-918773.3285128265,308.619,0.0406,78.39
77,154000,-875721.9176591119,294.353,0.0377,80.02
78,156000,-901840.0661783421,297.98,0.0392,80.03
79,158000,-875856.8934385286,292.773,0.0383,80.77
80,160000,-873002.1792262819,300.658,0.0389,79.07
81,162000,-963194.0654254095,301.706,0.0411,79.62
82,164000,-885466.9276136548,309.045,0.039,78.43
83,166000,-908672.3448760099,309.007,0.0401,79.38
84,168000,-937955.531956331,298.949,0.0409,78.84
85,170000,-916982.8808013243,292.813,0.0389,79.93
86,172000,-892167.2849568734,302.214,0.0397,79.88
87,174000,-901149.0919108961,300.955,0.0396,79.12
88,176000,-904120.2444309067,305.557,0.0405,79.75
89,178000,-871234.5538510454,299.335,0.039,79.39
90,180000,-972741.200451298,301.038,0.0423,79.36
91,182000,-898990.3295649146,297.484,0.0409,79.76
92,184000,-944911.8608978146,306.154,0.0412,79.24
93,186000,-950948.8500070939,298.597,0.0411,79.48
94,188000,-940462.794709154,304.167,0.0414,79.22
95,190000,-863086.5298664257,302.715,0.0379,78.86
96,192000,-926656.1877394688,293.252,0.0399,80.46
97,194000,-954551.7918338466,304.743,0.042,78.64
98,196000,-899366.3148417863,303.269,0.04,79.27
99,198000,-921787.3266654093,296.025,0.0398,79.47
100,200000,-923237.1898353855,295.135,0.0421,80.16
