Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean,Loss,Epsilon,Density
1,2000,-929348.4816699128,502.938,0.0427,78.02,0.048,1.0,30
2,4000,-935946.481771955,493.068,0.0424,84.22,0.04608,0.95,50
3,6000,-948178.9559672554,493.068,0.0424,84.22,0.044237,0.9025,50
4,8000,-923600.3328549754,502.938,0.0427,78.02,0.042467,0.8574,30
5,10000,-949850.6837902934,493.068,0.0424,84.22,0.040769,0.8145,50
6,12000,-957611.8633991216,496.13,0.0428,84.07,0.039138,0.7738,100
7,14000,-948277.2092934848,502.938,0.0427,78.02,0.037572,0.7351,30
8,16000,-924899.5752771512,493.068,0.0424,84.22,0.036069,0.6983,50
9,18000,-947366.5796470504,502.938,0.0427,78.02,0.034627,0.6634,30
10,20000,-932702.1743733988,493.068,0.0424,84.22,0.033242,0.6302,50
11,22000,-901970.7571027544,496.13,0.0428,84.07,0.031912,0.5987,100
12,24000,-924750.7543037692,502.938,0.0427,78.02,0.030635,0.5688,30
13,26000,-903577.3298686228,502.938,0.0427,78.02,0.02941,0.5404,30
14,28000,-947166.2958510782,496.13,0.0428,84.07,0.028234,0.5133,100
15,30000,-925726.1125690258,502.938,0.0427,78.02,0.027104,0.4877,30
16,32000,-929830.6334971891,496.13,0.0428,84.07,0.02602,0.4633,100
17,34000,-1011808.517121138,502.938,0.0427,78.02,0.024979,0.4401,30
18,36000,-960077.3065803512,493.068,0.0424,84.22,0.02398,0.4181,50
19,38000,-949462.4301725512,493.068,0.0424,84.22,0.023021,0.3972,50
20,40000,-952666.9059687998,496.13,0.0428,84.07,0.0221,0.3774,100
21,42000,-925535.2005128544,493.068,0.0424,84.22,0.021216,0.3585,50
22,44000,-973496.7447456528,493.068,0.0424,84.22,0.020367,0.3406,50
23,46000,-993180.2633893256,493.068,0.0424,84.22,0.019553,0.3235,50
24,48000,-892777.0452256711,502.938,0.0427,78.02,0.018771,0.3074,30
25,50000,-933365.254007992,502.938,0.0427,78.02,0.01802,0.292,30
26,52000,-938658.9932819384,496.13,0.0428,84.07,0.017299,0.2774,100
27,54000,-917183.3453353788,496.13,0.0428,84.07,0.016607,0.2635,100
28,56000,-933920.0805045436,502.938,0.0427,78.02,0.015943,0.2503,30
29,58000,-886987.0718452473,493.068,0.0424,84.22,0.015305,0.2378,50
30,60000,-979391.4657805648,502.938,0.0427,78.02,0.014693,0.2259,30
31,62000,-991421.4149582328,493.068,0.0424,84.22,0.014105,0.2146,50
32,64000,-929887.604921915,496.13,0.0428,84.07,0.013541,0.2039,100
33,66000,-977930.9841752218,493.068,0.0424,84.22,0.012999,0.1937,50
34,68000,-917148.1952213376,493.068,0.0424,84.22,0.012479,0.184,50
35,70000,-943721.2018677248,493.068,0.0424,84.22,0.01198,0.1748,50
36,72000,-978844.495569449,502.938,0.0427,78.02,0.011501,0.1661,30
37,74000,-941524.6757103768,502.938,0.0427,78.02,0.011041,0.1578,30
38,76000,-934413.292424975,493.068,0.0424,84.22,0.010599,0.1499,50
39,78000,-960439.4722887464,496.13,0.0428,84.07,0.010175,0.1424,100
40,80000,-921135.7573711502,502.938,0.0427,78.02,0.009768,0.1353,30
41,82000,-914524.4994004704,493.068,0.0424,84.22,0.009378,0.1285,50
42,84000,-953104.7013882864,496.13,0.0428,84.07,0.009002,0.1221,100
43,86000,-977171.234676211,502.938,0.0427,78.02,0.008642,0.116,30
44,88000,-980407.831723331,502.938,0.0427,78.02,0.008297,0.1102,30
45,90000,-969228.566595358,502.938,0.0427,78.02,0.007965,0.1047,30
46,92000,-948612.104446961,493.068,0.0424,84.22,0.007646,0.0994,50
47,94000,-946757.914999046,502.938,0.0427,78.02,0.00734,0.0945,30
48,96000,-905615.3947572026,502.938,0.0427,78.02,0.007047,0.0897,30
49,98000,-931348.3351925004,502.938,0.0427,78.02,0.006765,0.0853,30
50,100000,-974762.5529550684,493.068,0.0424,84.22,0.006494,0.081,50
51,102000,-931876.7816932612,493.068,0.0424,84.22,0.006235,0.0769,50
52,104000,-932861.393993714,496.13,0.0428,84.07,0.005985,0.0731,100
53,106000,-914128.19798325,496.13,0.0428,84.07,0.005746,0.0694,100
54,108000,-980863.1001252322,493.068,0.0424,84.22,0.005516,0.066,50
55,110000,-967502.7541966456,502.938,0.0427,78.02,0.005295,0.0627,30
56,112000,-954734.68568001,493.068,0.0424,84.22,0.005083,0.0595,50
57,114000,-943029.5236397056,493.068,0.0424,84.22,0.00488,0.0566,50
58,116000,-884685.4638134161,502.938,0.0427,78.02,0.004685,0.0537,30
59,118000,-925739.6320950508,496.13,0.0428,84.07,0.004498,0.051,100
60,120000,-898855.5199411686,502.938,0.0427,78.02,0.004318,0.0485,30
61,122000,-924168.2601242705,496.13,0.0428,84.07,0.004145,0.0461,100
62,124000,-927511.7264447702,502.938,0.0427,78.02,0.003979,0.0438,30
63,126000,-990478.6851807896,496.13,0.0428,84.07,0.00382,0.0416,100
64,128000,-972040.9922477696,496.13,0.0428,84.07,0.003667,0.0395,100
65,130000,-1006911.3651193752,502.938,0.0427,78.02,0.00352,0.0375,30
66,132000,-924079.371646584,502.938,0.0427,78.02,0.00338,0.0356,30
67,134000,-926744.2819119764,493.068,0.0424,84.22,0.003244,0.0339,50
68,136000,-917095.146352248,493.068,0.0424,84.22,0.003115,0.0322,50
69,138000,-913468.52306508,502.938,0.0427,78.02,0.00299,0.0306,30
70,140000,-928663.4518486294,493.068,0.0424,84.22,0.00287,0.029,50
71,142000,-981073.5622180236,502.938,0.0427,78.02,0.002756,0.0276,30
72,144000,-950987.9417420584,502.938,0.0427,78.02,0.002645,0.0262,30
73,146000,-891384.7957943508,493.068,0.0424,84.22,0.00254,0.0249,50
74,148000,-945261.8621231576,496.13,0.0428,84.07,0.002438,0.0236,100
75,150000,-947758.2665287164,502.938,0.0427,78.02,0.002341,0.0225,30
76,152000,-923815.3834974128,496.13,0.0428,84.07,0.002247,0.0213,100
77,154000,-881859.1592251217,493.068,0.0424,84.22,0.002157,0.0203,50
78,156000,-907562.122344,496.13,0.0428,84.07,0.002071,0.0193,100
79,158000,-880112.4420151423,502.938,0.0427,78.02,0.001988,0.0183,30
