Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean
1,2000,-926251.2011188884,302.225,0.039,80.19
2,4000,-911666.1138697678,1067.176,0.0499,37.95
3,6000,-1027778.2283675411,1287.449,0.0175,43.0
4,8000,-939197.5420496812,251.557,0.0325,95.43
5,10000,-921659.3592291485,1062.404,0.0514,38.62
6,12000,-1036325.9384283712,545.206,0.0162,91.19
7,14000,-918071.3278341189,161.039,0.0518,94.1
8,16000,-941201.5984644413,1135.943,0.0309,40.26
9,18000,-917793.3837896097,159.313,0.0506,93.26
10,20000,-969793.2190130332,468.597,0.0281,91.25
11,22000,-877834.6805155781,1038.876,0.0468,39.73
12,24000,-1002228.2087488127,481.339,0.0165,96.68
13,26000,-877767.4377445726,158.326,0.0477,94.41
14,28000,-1025898.9812921077,1270.237,0.0173,43.94
15,30000,-1003238.9846890796,479.916,0.0163,96.95
16,32000,-901243.2378521098,158.794,0.0502,94.21
17,34000,-976346.87778352,199.091,0.058,89.24
18,36000,-932906.7017039604,194.91,0.0507,88.29
19,38000,-975435.6279118154,287.763,0.0301,92.87
20,40000,-1017498.1902112595,773.116,0.0228,79.47
21,42000,-944029.5445788013,252.481,0.0328,95.43
22,44000,-943328.3656910677,238.423,0.0519,90.85
23,46000,-1079370.6052760736,546.245,0.0184,90.98
24,48000,-867497.6695524087,164.056,0.0494,94.16
25,50000,-906295.2646549152,190.097,0.0502,88.28
26,52000,-912092.3366405884,1056.161,0.0498,38.56
27,54000,-890743.6766590686,296.658,0.0497,83.23
28,56000,-906070.9474819162,198.83,0.051,87.94
29,58000,-902456.6593339083,1139.699,0.03,40.71
30,60000,-953212.05073292,163.86,0.051,94.03
31,62000,-958885.285456294,160.682,0.054,93.91
32,64000,-1000827.7247842632,466.949,0.0184,96.27
33,66000,-948986.6655773323,163.052,0.0515,93.96
34,68000,-993449.7095183748,545.641,0.0165,91.1
35,70000,-1023219.1242016688,1268.191,0.0169,44.55
36,72000,-949665.1589554173,190.706,0.0521,87.85
37,74000,-1020764.3334362424,481.959,0.0174,96.68
38,76000,-907774.5793442547,163.754,0.0492,94.39
39,78000,-1042317.9572260691,482.519,0.0179,96.52
40,80000,-898742.2120912838,973.448,0.0476,46.86
41,82000,-886956.0958390123,1053.327,0.0497,38.46
42,84000,-1023216.3944928439,500.93,0.0209,91.53
43,86000,-994294.3601419785,249.473,0.0335,95.4
44,88000,-948478.0252341612,173.717,0.0556,93.15
45,90000,-945860.4890323093,284.709,0.0505,85.65
46,92000,-919277.1862063726,196.283,0.0536,87.97
47,94000,-1012455.5841385666,662.143,0.0205,68.69
48,96000,-877907.7294326506,176.945,0.0506,90.5
49,98000,-1003558.6582425501,520.191,0.0182,90.38
50,100000,-993735.2369909725,253.381,0.0347,95.19
51,102000,-1007116.755011502,560.517,0.0169,88.21
52,104000,-906251.7469414957,162.935,0.0509,94.09
53,106000,-895874.2272619213,1083.029,0.0466,38.15
54,108000,-949706.2519339315,190.395,0.0528,88.02
55,110000,-1051586.7499212488,483.11,0.018,96.56
56,112000,-946766.2733366231,201.214,0.0425,93.96
57,114000,-913627.1722667053,159.224,0.0515,94.08
58,116000,-862756.5275401577,210.933,0.0464,88.12
59,118000,-1002183.9538494442,546.671,0.0167,91.02
60,120000,-873300.2276286003,160.719,0.0478,94.18
61,122000,-896341.0683276496,157.322,0.0491,94.36
62,124000,-1004186.9429546538,543.306,0.0166,91.43
63,126000,-958067.3949607315,165.746,0.0557,93.8
64,128000,-952852.2390588691,207.257,0.0427,94.18
65,130000,-1074538.0125856758,483.309,0.0194,93.21
66,132000,-887614.9151993344,159.201,0.0499,94.11
67,134000,-936755.2981065395,249.158,0.0312,95.61
68,136000,-883930.4092610286,182.135,0.0475,88.43
69,138000,-882479.2610675844,1039.215,0.0484,39.64
70,140000,-895435.5318561881,191.185,0.05,88.16
71,142000,-945728.4627221335,163.203,0.0531,94.02
72,144000,-962790.7628362367,248.857,0.0322,95.64
73,146000,-859754.6374027302,163.953,0.0501,94.09
74,148000,-1013649.7951787746,464.969,0.0178,95.58
75,150000,-918149.9868189425,158.25,0.0491,94.57
76,152000,-894463.251873096,192.316,0.0508,87.96
77,154000,-853083.1368501392,157.733,0.0477,94.44
78,156000,-921727.0924391364,1132.416,0.0306,40.88
79,158000,-894933.8548078,1135.503,0.0299,40.74
80,160000,-857138.119154666,200.517,0.0463,88.54
81,162000,-1048475.3803081041,481.885,0.0171,96.69
82,164000,-867293.0806004858,195.68,0.0468,88.27
83,166000,-885315.6881234895,169.773,0.0501,94.18
84,168000,-960849.0648978641,247.594,0.0314,95.7
85,170000,-894438.1926180254,157.631,0.0483,94.44
86,172000,-870966.5909629529,180.13,0.0488,91.27
87,174000,-877834.7020635657,455.951,0.0495,69.91
88,176000,-881155.2646484742,372.536,0.0502,74.59
89,178000,-849564.3113114763,160.292,0.0484,94.41
90,180000,-1060594.4664364867,481.863,0.0175,96.73
91,182000,-875625.082218023,189.504,0.051,88.05
92,184000,-919555.5306648641,971.35,0.0516,42.65
93,186000,-1036049.246566348,548.511,0.017,90.85
94,188000,-948298.6790290138,219.159,0.0384,93.87
95,190000,-875501.3689529308,348.677,0.0321,88.32
96,192000,-946143.7450574811,303.28,0.0316,92.2
97,194000,-929576.9127981332,191.151,0.0524,88.02
98,196000,-877678.0380058313,193.146,0.0492,88.27
99,198000,-897346.411691558,1045.19,0.05,38.62
100,200000,-899872.5559382795,972.693,0.052,41.95
