Episode,Global_Step,Reward,AoI_mean,CBR_mean,PDR_mean,Loss,Epsilon,Density
1.0,2000.0,-332430.1116884459,553.463,0.0822,63.81,0.0154356403639022,0.95,100.0
2.0,4000.0,-200395.19684779496,516.454,0.0669,64.47,0.0017818043724825,0.9025,30.0
3.0,6000.0,-303888.1316842428,553.964,0.0802,64.04,0.0023093317661368,0.8573749999999999,50.0
4.0,8000.0,-302216.61791116494,519.182,0.0796,66.81,0.0017093047974783,0.8145062499999999,50.0
5.0,10000.0,-195976.0878105476,534.166,0.0674,64.7,0.0012578976562466,0.7737809374999999,30.0
6.0,12000.0,-306026.2391336029,573.214,0.0796,62.61,0.002178361427064,0.7350918906249998,50.0
7.0,14000.0,-968874.3668526805,165.073,0.073,87.11,0.037572,0.7351,30.0
8.0,16000.0,-899441.5727858476,173.365,0.0882,85.9,0.036069,0.6983,50.0
9.0,18000.0,-1030248.934730536,165.073,0.073,87.11,0.034627,0.6634,30.0
10.0,20000.0,-908434.043059938,173.365,0.0882,85.9,0.033242,0.6302,50.0
11.0,22000.0,-920456.46635108,174.713,0.0893,85.81,0.031912,0.5987,100.0
12.0,24000.0,-900856.4975988629,165.073,0.073,87.11,0.030635,0.5688,30.0
13.0,26000.0,-923599.712203044,165.073,0.073,87.11,0.02941,0.5404,30.0
14.0,28000.0,-966727.3166637374,174.713,0.0893,85.81,0.028234,0.5133,100.0
15.0,30000.0,-901987.2051591898,165.073,0.073,87.11,0.027104,0.4877,30.0
16.0,32000.0,-949392.6428542436,174.713,0.0893,85.81,0.02602,0.4633,100.0
17.0,34000.0,-981120.7587723292,165.073,0.073,87.11,0.024979,0.4401,30.0
18.0,36000.0,-935306.6220961557,173.365,0.0882,85.9,0.02398,0.4181,50.0
19.0,38000.0,-925091.3635990736,173.365,0.0882,85.9,0.023021,0.3972,50.0
20.0,40000.0,-927092.3159511044,174.713,0.0893,85.81,0.0221,0.3774,100.0
21.0,42000.0,-1007627.2729832408,173.365,0.0882,85.9,0.021216,0.3585,50.0
22.0,44000.0,-994086.617581817,173.365,0.0882,85.9,0.020367,0.3406,50.0
23.0,46000.0,-1083150.7520838848,173.365,0.0882,85.9,0.019553,0.3235,50.0
24.0,48000.0,-970144.7213034094,165.073,0.073,87.11,0.018771,0.3074,30.0
25.0,50000.0,-909355.7415507096,165.073,0.073,87.11,0.01802,0.292,30.0
26.0,52000.0,-914552.0982890426,174.713,0.0893,85.81,0.017299,0.2774,100.0
27.0,54000.0,-892110.7456692299,174.713,0.0893,85.81,0.016607,0.2635,100.0
28.0,56000.0,-907837.5205663284,165.073,0.073,87.11,0.015943,0.2503,30.0
29.0,58000.0,-864887.7496425263,173.365,0.0882,85.9,0.015305,0.2378,50.0
30.0,60000.0,-952650.6421542228,165.073,0.073,87.11,0.014693,0.2259,30.0
31.0,62000.0,-962047.5985961602,173.365,0.0882,85.9,0.014105,0.2146,50.0
32.0,64000.0,-905323.2074989232,174.713,0.0893,85.81,0.013541,0.2039,100.0
33.0,66000.0,-951812.1740103264,173.365,0.0882,85.9,0.012999,0.1937,50.0
34.0,68000.0,-996084.5826389703,173.365,0.0882,85.9,0.012479,0.184,50.0
35.0,70000.0,-989316.9482307294,173.365,0.0882,85.9,0.01198,0.1748,50.0
36.0,72000.0,-1066807.5830893728,165.073,0.073,87.11,0.011501,0.1661,30.0
37.0,74000.0,-961672.7864801468,165.073,0.073,87.11,0.011041,0.1578,30.0
38.0,76000.0,-910597.4975532858,173.365,0.0882,85.9,0.010599,0.1499,50.0
39.0,78000.0,-980824.7707055032,174.713,0.0893,85.81,0.010175,0.1424,100.0
40.0,80000.0,-1000405.2726024552,165.073,0.073,87.11,0.009768,0.1353,30.0
41.0,82000.0,-891244.9760206509,173.365,0.0882,85.9,0.009378,0.1285,50.0
42.0,84000.0,-974926.0811634448,174.713,0.0893,85.81,0.009002,0.1221,100.0
43.0,86000.0,-951696.7560549042,165.073,0.073,87.11,0.008642,0.116,30.0
44.0,88000.0,-953433.2671523988,165.073,0.073,87.11,0.008297,0.1102,30.0
45.0,90000.0,-940726.743392686,165.073,0.073,87.11,0.007965,0.1047,30.0
46.0,92000.0,-1033729.23962889,173.365,0.0882,85.9,0.007646,0.0994,50.0
47.0,94000.0,-920044.142248962,165.073,0.073,87.11,0.00734,0.0945,30.0
48.0,96000.0,-984355.91674952,165.073,0.073,87.11,0.007047,0.0897,30.0
49.0,98000.0,-1013288.1424818592,165.073,0.073,87.11,0.006765,0.0853,30.0
50.0,100000.0,-945572.2029389286,173.365,0.0882,85.9,0.006494,0.081,50.0
51.0,102000.0,-932591.6743281018,173.365,0.0882,85.9,0.006235,0.0769,50.0
52.0,104000.0,-906220.6760854056,174.713,0.0893,85.81,0.005985,0.0731,100.0
53.0,106000.0,-885870.5750642389,174.713,0.0893,85.81,0.005746,0.0694,100.0
54.0,108000.0,-952857.4488758276,173.365,0.0882,85.9,0.005516,0.066,50.0
55.0,110000.0,-956865.1711959498,165.073,0.073,87.11,0.005295,0.0627,30.0
56.0,112000.0,-953072.5562563476,173.365,0.0882,85.9,0.005083,0.0595,50.0
57.0,114000.0,-960600.3841585892,173.365,0.0882,85.9,0.00488,0.0566,50.0
58.0,116000.0,-860569.5977657943,165.073,0.073,87.11,0.004685,0.0537,30.0
59.0,118000.0,-1002148.4243178848,174.713,0.0893,85.81,0.004498,0.051,100.0
60.0,120000.0,-915802.6679528556,165.073,0.073,87.11,0.004318,0.0485,30.0
61.0,122000.0,-896334.2631885752,174.713,0.0893,85.81,0.004145,0.0461,100.0
62.0,124000.0,-900677.3163502438,165.073,0.073,87.11,0.003979,0.0438,30.0
63.0,126000.0,-1076223.3520058214,174.713,0.0893,85.81,0.00382,0.0416,100.0
64.0,128000.0,-925851.1417752096,174.713,0.0893,85.81,0.003667,0.0395,100.0
65.0,130000.0,-966852.7976087936,165.073,0.073,87.11,0.00352,0.0375,30.0
66.0,132000.0,-932934.5452891396,165.073,0.073,87.11,0.00338,0.0356,30.0
67.0,134000.0,-893078.3361363193,173.365,0.0882,85.9,0.003244,0.0339,50.0
68.0,136000.0,-881012.899259026,173.365,0.0882,85.9,0.003115,0.0322,50.0
69.0,138000.0,-984032.1405447128,165.073,0.073,87.11,0.00299,0.0306,30.0
70.0,140000.0,-941063.5842002447,173.365,0.0882,85.9,0.00287,0.029,50.0
71.0,142000.0,-947872.6608616778,165.073,0.073,87.11,0.002756,0.0276,30.0
72.0,144000.0,-915060.4012256684,165.073,0.073,87.11,0.002645,0.0262,30.0
73.0,146000.0,-861502.1140177677,173.365,0.0882,85.9,0.00254,0.0249,50.0
74.0,148000.0,-1019487.511636359,174.713,0.0893,85.81,0.002438,0.0236,100.0
75.0,150000.0,-961253.806608025,165.073,0.073,87.11,0.002341,0.0225,30.0
76.0,152000.0,-894471.5449878185,174.713,0.0893,85.81,0.002247,0.0213,100.0
77.0,154000.0,-855537.2336041046,173.365,0.0882,85.9,0.002157,0.0203,50.0
78.0,156000.0,-921740.6601016076,174.713,0.0893,85.81,0.002071,0.0193,100.0
79.0,158000.0,-855483.1837209912,165.073,0.073,87.11,0.001988,0.0183,30.0
80.0,160000.0,-949001.736071147,174.713,0.0893,85.81,0.001908,0.0174,100.0
81.0,162000.0,-939025.1113582668,165.073,0.073,87.11,0.001832,0.0165,30.0
82.0,164000.0,-864574.9938110214,173.365,0.0882,85.9,0.001759,0.0157,50.0
83.0,166000.0,-888511.4245883242,165.073,0.073,87.11,0.001688,0.0149,30.0
84.0,168000.0,-1022661.0305653628,174.713,0.0893,85.81,0.001621,0.0142,100.0
85.0,170000.0,-937828.7219444596,165.073,0.073,87.11,0.001556,0.0135,30.0
86.0,172000.0,-868889.1502165898,165.073,0.073,87.11,0.001494,0.0128,30.0
87.0,174000.0,-922331.0520150624,174.713,0.0893,85.81,0.001434,0.0121,100.0
88.0,176000.0,-880919.7865772172,174.713,0.0893,85.81,0.001377,0.0115,100.0
89.0,178000.0,-947305.7751286024,173.365,0.0882,85.9,0.001322,0.011,50.0
90.0,180000.0,-949375.389829066,173.365,0.0882,85.9,0.001269,0.0104,50.0
91.0,182000.0,-877186.9564295503,173.365,0.0882,85.9,0.001218,0.01,50.0
92.0,184000.0,-1029038.398862454,173.365,0.0882,85.9,0.001169,0.01,50.0
93.0,186000.0,-925160.5935268622,174.713,0.0893,85.81,0.001123,0.01,100.0
94.0,188000.0,-916218.7183214452,174.713,0.0893,85.81,0.001078,0.01,100.0
95.0,190000.0,-881752.9044063915,165.073,0.073,87.11,0.001035,0.01,30.0
96.0,192000.0,-1007662.3989762472,165.073,0.073,87.11,0.000993,0.01,30.0
97.0,194000.0,-931694.935014053,165.073,0.073,87.11,0.000953,0.01,30.0
98.0,196000.0,-919755.8345541476,165.073,0.073,87.11,0.000915,0.01,30.0
99.0,198000.0,-897352.011445964,174.713,0.0893,85.81,0.000879,0.01,100.0
100.0,200000.0,-899870.2904003859,174.713,0.0893,85.81,0.000844,0.01,100.0
