Method,Architecture,Tuned Hyperparameters,Reward Convergence,Mean PDR (%),Mean AoI (ms),Mean CBR
REMO-DQN (Proposed),ResNet + MoE + Dueling DQN,"num_experts=3, lr=0.002267, gamma=0.9198, batch_size=64, buffer_size=10000, target_update_freq=2",-1461.7,96.73,235.07,0.014
MoEDQN,MoE + Standard DQN,"num_experts=2, lr=9.3e-04, gamma=0.9576, batch_size=64, buffer_size=100000, target_update_freq=1",-5499.1,93.24,530.14,0.007
MAPPO,Multi-Agent PPO,"lr=6.6e-04, gamma=0.9169, eps_clip=0.113, k_epochs=10, batch_size=32, buffer_size=50000",-2255.4,90.98,366.10,0.014
PPO,Proximal Policy Optimization,"lr=0.008153, gamma=0.9006, eps_clip=0.2135, k_epochs=8, batch_size=64, buffer_size=100000",-5628.8,95.39,134.98,0.023
SAC,Soft Actor-Critic,"lr=0.003986, gamma=0.9451, tau=0.009937, alpha=0.2712, batch_size=64, buffer_size=100000",-5498.8,93.85,530.14,0.007
DDPG,Deep Deterministic Policy Gradient,"lr_actor=6.6e-04, lr_critic=3.2e-05, gamma=0.9064, tau=0.00954, batch_size=32, buffer_size=50000",-2667.3,73.51,793.43,0.013
TD3,Twin Delayed DDPG,"lr=2.2e-05, gamma=0.9327, tau=0.005474, policy_delay=1, target_noise=0.2004, noise_clip=0.4214, batch_size=32, buffer_size=10000",-2537.6,71.17,337.35,0.021
DuelingDQN,Dueling Deep Q-Network,"lr=9.1e-04, gamma=0.9177, batch_size=64, buffer_size=50000, target_update_freq=1",-5498.9,98.31,496.57,0.007
DoubleDQN,Double Deep Q-Network,"lr=2.3e-04, gamma=0.9238, batch_size=32, buffer_size=100000, target_update_freq=2",-3417.9,94.87,130.44,0.023
VanillaDQN,Standard DQN (Mnih et al.),"lr=0.005829, gamma=0.9088, batch_size=128, buffer_size=100000, target_update_freq=5",-5498.8,93.85,530.14,0.007
QLearning,Tabular Q-Learning,"alpha=0.01729, gamma=0.9803, epsilon_decay=0.9472",-2771.5,72.33,314.17,0.018
SARSA,State-Action-Reward-State-Action,"alpha=0.03846, gamma=0.9858, epsilon_decay=0.9595",-2775.7,71.80,316.46,0.018
ActorCritic,Advantage Actor-Critic (A2C),"lr=0.001999, gamma=0.9636, batch_size=64, buffer_size=10000",-2973.1,96.46,123.43,0.023
DecisionTransformer,Transformer-based Sequence RL,"lr=0.001568, gamma=0.9298, batch_size=32, buffer_size=100000",-5504.6,96.91,498.60,0.007
ReactDCC,ETSI TS 102 687 Reactive DCC,Fixed Look-up Table (Interval 100ms-1000ms based on CBR thresholds),0.0,96.99,122.78,0.023
AdaptDCC,ETSI TS 102 687 Adaptive DCC,"Linear rate adaptation (Target CBR=0.60, delta_T=50ms)",0.0,96.99,122.78,0.023
Fixed 10Hz,Standard Constant Rate,Generation Interval = 100ms (Fixed 10 Hz CAM beaconing),0.0,96.99,122.78,0.023
