Method,Architecture,Tuned Hyperparameters,Reward Convergence,Mean PDR (%),Mean AoI (ms),Mean CBR
REMO-DQN (Proposed),ResNet + MoE + Dueling DQN,"lr=1.2e-4, gamma=0.985, tau=0.005, batch_size=64, num_experts=3, top_k=2",-850665.1,96.22,145.45,0.584
MoEDQN,MoE + Standard DQN,"lr=2.1e-4, gamma=0.975, batch_size=64, num_experts=3, top_k=2",-849555.6,93.69,245.27,0.598
MAPPO,Multi-Agent PPO,"lr=1.5e-4, gamma=0.980, eps_clip=0.20, k_epochs=8, batch_size=64",-853591.6,86.11,173.74,0.605
PPO,Proximal Policy Optimization,"lr=1.47e-4, gamma=0.972, eps_clip=0.291, k_epochs=9, batch_size=32",-842648.9,85.97,189.22,0.608
SAC,Soft Actor-Critic,"lr=1.85e-4, gamma=0.981, tau=0.005, alpha=0.20, batch_size=64",-863086.5,91.89,145.17,0.615
DDPG,Deep Deterministic Policy Gradient,"lr_actor=1.1e-4, lr_critic=3.2e-4, gamma=0.965, tau=0.005, batch_size=64",-850172.8,91.93,145.11,0.62
TD3,Twin Delayed DDPG,"lr=3.79e-4, gamma=0.918, tau=0.005, policy_delay=2, target_noise=0.205, batch_size=64",-849564.3,95.54,494.05,0.614
DuelingDQN,Dueling Deep Q-Network,"lr=2.5e-4, gamma=0.980, tau=0.005, batch_size=64, buffer_size=50000",-849547.1,85.88,189.22,0.625
DoubleDQN,Double Deep Q-Network,"lr=2.8e-4, gamma=0.975, tau=0.005, batch_size=64, buffer_size=50000",-846556.8,91.89,147.94,0.622
VanillaDQN,Standard DQN (Mnih et al.),"lr=3.0e-4, gamma=0.970, batch_size=64, buffer_size=50000, eps_decay=0.995",-855483.2,86.07,172.88,0.635
QLearning,Tabular Q-Learning,"alpha=0.045, gamma=0.960, eps_decay=0.992",-853687.2,83.45,313.92,0.65
SARSA,State-Action-Reward-State-Action,"alpha=0.028, gamma=0.973, eps_decay=0.991",-867652.1,83.12,495.61,0.655
ActorCritic,Advantage Actor-Critic (A2C),"lr_actor=1.5e-4, lr_critic=4.0e-4, gamma=0.975, batch_size=32",-841575.5,91.91,145.17,0.628
DecisionTransformer,Transformer-based RL,"lr=1.0e-4, gamma=0.990, n_heads=4, n_layers=3, context_len=20",-875923.3,81.3,323.59,0.618
ReactDCC,ETSI TS 102 687 Reactive DCC,Fixed Look-up Table (Interval 25ms-1000ms based on CBR thresholds),-982000.0,82.5,210.4,0.612
AdaptDCC,ETSI TS 102 687 Adaptive DCC,"Gradient descent rate adaptation (Target CBR=0.60, alpha=0.05)",-978000.0,85.1,195.8,0.598
Fixed 10Hz,Standard Constant Rate,Generation Interval = 100ms (Fixed 10 Hz CAM beaconing),-995000.0,48.2,100.0,0.892
