Episode,Global_Step,REMO-DQN,Fixed 10Hz,ReactDCC,AdaptDCC,MoEDQN,MAPPO,PPO,SAC,DDPG,TD3,DuelingDQN,DoubleDQN,VanillaDQN,QLearning,SARSA,ActorCritic,DecisionTransformer
1,2000,-1136616.1080078618,-995000.0,-982000.0,-978000.0,-332312.6266432843,-926759.800825098,-334042.56593640987,-332560.8049313188,-331605.41048244474,-926251.2011188884,-331928.41853463853,-332082.2238638745,-332430.1116884459,-929339.4293447222,-929348.4816699128,-927936.7586665252,-926771.477685616
2,4000,-1060645.783623181,-995000.0,-982000.0,-978000.0,-200487.76523108443,-933530.4333644824,-206235.01334292212,-195688.5872240133,-168356.35025200195,-911666.1138697678,-200593.1536145861,-200690.46661875924,-200395.19684779496,-935989.8926488442,-935946.481771955,-933849.276417854,-933450.0651191546
3,6000,-1088226.3687549373,-995000.0,-982000.0,-978000.0,-300750.800958166,-945522.1529428856,-315319.1687104155,-303404.53294504253,-263189.1359935466,-1027778.2283675412,-303073.3804135268,-303016.7399868262,-303888.1316842428,-948156.2037951836,-948178.9559672554,-945468.7135951808,-945207.7311716396
4,8000,-1084044.0742532923,-995000.0,-982000.0,-978000.0,-305302.44392684044,-920570.1632667882,-918947.2652537988,-918638.35731908,-911783.5873713248,-939197.5420496812,-303762.04990059644,-305151.8927501795,-302216.61791116494,-923608.443582578,-923600.3328549754,-920385.4697804884,-919389.9850828028
5,10000,-1057206.4108185703,-995000.0,-982000.0,-978000.0,-197617.06862380376,-946533.871141052,-944676.697256176,-946026.9872725684,-939841.2229300116,-921659.3592291484,-196815.9822271416,-199254.4183110716,-195976.0878105476,-949848.6340214416,-949850.6837902934,-945612.121913181,-941839.5084795444
6,12000,-1072977.3714906494,-995000.0,-982000.0,-978000.0,-1036349.4373033711,-954263.3610147508,-952149.333501362,-952456.1304340984,-942215.674316834,-1036325.9384283712,-305665.72094739345,-315995.4027194831,-306026.2391336029,-957600.1929369837,-957611.8633991216,-952516.3247898386,-951592.0054137432
7,14000,-1114708.7005952676,-995000.0,-982000.0,-978000.0,-918066.6863681816,-945004.2282617254,-942770.927947363,-944093.520504334,-929975.3093833624,-918071.3278341189,-918063.4510133069,-973021.3882855668,-968874.3668526805,-948266.8954909656,-948277.2092934848,-942394.11355494,-946645.9205680222
8,16000,-1044105.0830469334,-995000.0,-982000.0,-978000.0,-896261.0753007398,-921745.884085881,-919503.464138652,-919971.561904765,-906869.4799940992,-941201.5984644413,-941202.1912317108,-963561.0987607175,-899441.5727858476,-925011.9846144976,-924899.5752771512,-918601.203986306,-923779.9554428104
9,18000,-1068059.4812445948,-995000.0,-982000.0,-978000.0,-1027416.7649100544,-944670.5352812,-941944.4908752204,-944551.2475726746,-928985.6357775902,-917793.3837896097,-965340.2921288478,-920068.5807856906,-1030248.934730536,-947241.3754669584,-947366.5796470504,-939513.086133316,-945668.6956900128
10,20000,-1045589.326410362,-995000.0,-982000.0,-978000.0,-905605.4678838226,-929579.490815492,-926851.6200951572,-927934.6074628364,-913418.4991733624,-969793.2190130332,-1011388.1910653628,-1011378.2858227236,-908434.043059938,-932759.3697867852,-932702.1743733988,-924176.5788308048,-933939.358895634
11,22000,-1049101.077694674,-995000.0,-982000.0,-978000.0,-918269.2388647028,-899642.7993746317,-896858.9320962798,-898578.0586768285,-885864.3914294606,-877834.6805155781,-918269.4127888904,-919380.0555969202,-920456.46635108,-901913.7819004116,-901970.7571027544,-893220.880325592,-900104.4899550641
12,24000,-1095273.23943165,-995000.0,-982000.0,-978000.0,-896341.5837550135,-921854.4680135824,-918696.2042766494,-920690.5411559634,-905534.578999061,-1002228.2087488128,-942160.7449320444,-941877.6232766014,-900856.4975988629,-924744.314007514,-924750.7543037692,-914463.9014503916,-928711.1929822224
13,26000,-1021770.6728702232,-995000.0,-982000.0,-978000.0,-877770.598998466,-900201.6521614107,-896893.7706456298,-899690.0774021669,-885207.1554442585,-877767.4377445726,-874971.1105243872,-920409.0193107142,-923599.712203044,-903583.9798748416,-903577.3298686228,-892965.9891824945,-904463.481218508
14,28000,-1023940.0311317368,-995000.0,-982000.0,-978000.0,-919415.6315190564,-943272.6942681968,-939679.2077334652,-941955.8753721948,-928391.4270173076,-1025898.9812921076,-919418.7629391165,-919418.694728811,-966727.3166637374,-947255.16477197,-947166.2958510782,-935387.5901023422,-947486.7784444344
15,30000,-1098288.160845461,-995000.0,-982000.0,-978000.0,-900540.7764568585,-923534.7463024613,-919870.9865836066,-922940.2383747696,-908555.7365269894,-1003238.9846890796,-901173.6593791824,-901196.25979448,-901987.2051591898,-925589.760344109,-925726.1125690258,-913507.6731354916,-925349.2123843587
16,32000,-1020765.7037969476,-995000.0,-982000.0,-978000.0,-946856.1164759104,-926379.7547798872,-922358.8276639292,-926453.8496516504,-910983.3849095652,-901243.2378521098,-901238.7943160706,-932033.459535614,-949392.6428542436,-929741.0627066756,-929830.6334971891,-917351.5073737074,-930961.213630105
17,34000,-1080651.2790500764,-995000.0,-982000.0,-978000.0,-1030422.1070290284,-1006334.9313630206,-1001030.6173487192,-1006156.3653175016,-988059.0375603924,-976346.87778352,-983936.0048110863,-1080764.0782231132,-981120.7587723292,-1011853.7600171014,-1011808.517121138,-997087.8546188852,-1017192.8160793486
18,36000,-999774.2778424716,-995000.0,-982000.0,-978000.0,-978559.5360682146,-956840.0368761464,-951733.1383455562,-955922.17060679,-938927.9070042552,-932906.7017039604,-1032023.1182100668,-978557.8150745456,-935306.6220961557,-960062.6474070798,-960077.3065803512,-947230.717685281,-961142.5202001408
19,38000,-1018810.6487652828,-995000.0,-982000.0,-978000.0,-920589.194699858,-945930.001877633,-940924.240264266,-945575.1889069736,-929221.5883224516,-975435.6279118154,-922507.0463297656,-920588.4117138904,-925091.3635990736,-949492.7353750146,-949462.4301725512,-937824.1467436284,-948770.8151141952
20,40000,-1012968.2231678094,-995000.0,-982000.0,-978000.0,-1035031.1251909632,-948674.8959877284,-943127.5765998992,-948179.513582862,-931478.4656450104,-1017498.1902112596,-970268.8648446896,-1026993.6393296744,-927092.3159511044,-952726.9626615642,-952666.9059687998,-941333.2520018652,-948490.2700450316
21,42000,-1057423.1252225551,-995000.0,-982000.0,-978000.0,-896751.6865117983,-922375.3801798202,-916572.2163155358,-921961.05212419,-906843.2510672526,-944029.5445788011,-898874.0158014667,-944024.0874882012,-1007627.2729832408,-925497.6499006764,-925535.2005128544,-915505.1038136282,-921726.1866537728
22,44000,-1001750.5263749622,-995000.0,-982000.0,-978000.0,-1055084.4039870205,-969186.404580168,-962909.7562898016,-968862.6940073988,-953463.6958522,-943328.3656910677,-997985.0735477626,-949459.812476568,-994086.617581817,-973489.96680846,-973496.7447456528,-964542.2191143092,-971178.2734287684
23,46000,-996948.6457817998,-995000.0,-982000.0,-978000.0,-960427.0696611428,-988213.1869174308,-981110.376766401,-987425.8382502492,-998328.2889780934,-1079370.6052760736,-1011795.1587167298,-1075073.074642692,-1083150.7520838848,-993251.490237852,-993180.2633893256,-984870.674294784,-991475.9111087332
24,48000,-987332.6782847792,-995000.0,-982000.0,-978000.0,-867492.9884746342,-889219.9743255292,-882754.6777879082,-889157.094044211,-874985.4276044797,-867497.6695524087,-909860.7218179512,-872657.0835829772,-970144.7213034094,-892775.1732441519,-892777.0452256711,-886795.3306907375,-894531.8004192221
25,50000,-962691.6930778988,-995000.0,-982000.0,-978000.0,-903980.1383047207,-929007.960329375,-921837.0099522778,-929330.8770896964,-912961.2778700804,-906295.2646549152,-903989.5713978416,-903986.9655389544,-909355.7415507096,-933376.7347949616,-933365.254007992,-928482.8824203656,-937561.4620040698
26,52000,-962214.3635116534,-995000.0,-982000.0,-978000.0,-956078.4526724992,-934597.7508846584,-927010.7863660504,-934628.831379688,-920444.4771596494,-912092.3366405884,-909604.9622124314,-912092.7438230256,-914552.0982890426,-938732.9346264532,-938658.9932819384,-934799.0603583044,-941207.9190031284
27,54000,-1028719.4876137672,-995000.0,-982000.0,-978000.0,-934009.6642465934,-912809.8870424458,-905184.2647837664,-913230.3137239742,-898493.8569522843,-890743.6766590686,-890800.0549220969,-892054.6604184092,-892110.7456692299,-917260.4561247928,-917183.3453353788,-914669.224232728,-924080.1581935104
28,56000,-1024788.4696699384,-995000.0,-982000.0,-978000.0,-906063.729791352,-928633.0756330056,-920419.212688791,-930090.7552597444,-914065.7123202258,-906070.9474819162,-950104.6857324346,-904569.3366789672,-907837.5205663284,-933827.6552445376,-933920.0805045436,-932360.2159753296,-942161.8173098397
