x,y,Cluster
-17.224937,-1.2538773,Low Traffic
-15.87695,9.90024,Low Traffic
-16.468056,-2.1025639,Low Traffic
31.534582,-3.323183,Low Traffic
-21.048912,-0.92022187,Low Traffic
31.202974,0.047766097,Low Traffic
-15.737149,3.7776291,Low Traffic
22.55995,-14.686459,Low Traffic
-19.079178,10.514043,Low Traffic
26.512978,-6.2198615,Low Traffic
-18.062077,1.6088555,Low Traffic
-24.031078,-2.9778209,Low Traffic
-14.422934,5.3529916,Low Traffic
26.643118,-7.235986,Low Traffic
20.642656,-11.411325,Low Traffic
-13.027942,9.089655,Low Traffic
21.560926,-8.701598,Low Traffic
23.407164,-7.58339,Low Traffic
29.01212,1.5710857,Low Traffic
-17.92614,0.8393521,Low Traffic
-16.558626,1.8555475,Low Traffic
-16.945944,1.5518105,Low Traffic
-12.60635,3.8469808,Low Traffic
-10.602453,8.645056,Low Traffic
23.291973,-8.359379,Low Traffic
-15.513535,-0.40322143,Low Traffic
-9.597581,1.9734368,Low Traffic
28.35305,0.7422978,Low Traffic
35.79901,-4.1772614,Low Traffic
-19.844395,8.942824,Low Traffic
24.239449,-2.7000184,Low Traffic
-21.631014,6.2922764,Low Traffic
31.590458,0.99994105,Low Traffic
-13.717058,12.354222,Low Traffic
-22.114645,-3.136103,Low Traffic
-12.220566,8.455954,Low Traffic
-13.444621,2.7695744,Low Traffic
25.800901,-10.368961,Low Traffic
24.37949,-13.061951,Low Traffic
-11.797074,9.975205,Low Traffic
-18.634367,-0.7361955,Low Traffic
24.657618,-11.589895,Low Traffic
-13.730779,12.35414,Low Traffic
26.179012,-4.7796297,Low Traffic
-21.445932,-1.8915541,Low Traffic
-14.45348,3.6781907,Low Traffic
31.938047,1.7741878,Low Traffic
32.10449,-0.01238363,Low Traffic
25.765038,-7.2457304,Low Traffic
28.462387,0.8703959,Low Traffic
-17.97881,10.329471,Low Traffic
-21.897486,5.934585,Low Traffic
33.49471,-2.9217336,Low Traffic
-12.379522,4.1485224,Low Traffic
-24.408127,-2.7929854,Low Traffic
-12.651943,6.014428,Low Traffic
29.356625,2.6900706,Low Traffic
-20.904642,-3.463241,Low Traffic
27.97653,0.29285607,Low Traffic
33.538704,-2.8402858,Low Traffic
-22.213795,-3.2811203,Low Traffic
27.932703,1.4106749,Low Traffic
26.668093,-7.8735867,Low Traffic
33.889122,-0.089611664,Low Traffic
-19.867304,8.874666,Low Traffic
32.13874,0.020055493,Low Traffic
-13.323699,1.1450632,Low Traffic
-9.170397,3.0328622,Low Traffic
33.25403,-3.3740585,Low Traffic
-12.972594,1.3904243,Low Traffic
25.787207,-0.6017494,Low Traffic
26.226933,-1.2291609,Low Traffic
-19.700413,-4.886577,Low Traffic
-24.815886,-2.4880855,Low Traffic
-10.942288,9.56194,Low Traffic
-12.158501,4.4144697,Low Traffic
