arm,model,ep100_training_steps
mean_seed42,CARLTON,43527
mean_seed42,IHAMAPPO,25211
mean_seed42,MA2HDQN,13012
mean_seed42,MADDPGMT,14657
mean_seed42,PPO,746
mean_seed42,RESMAPDDPG,19688
mean_seed42,SAC,24735
mean_seed42,SPAMD3QN,26784
mean_seed42,TD3,27496
accumulate_seed42,CARLTON,60863
accumulate_seed42,IHAMAPPO,44581
accumulate_seed42,MA2HDQN,38579
accumulate_seed42,MADDPGMT,31544
accumulate_seed42,PPO,1610
accumulate_seed42,RESMAPDDPG,44584
accumulate_seed42,SAC,58032
accumulate_seed42,SPAMD3QN,50354
accumulate_seed42,TD3,66945
