arm,model,training_steps,episode
mean_seed42,CARLTON,43259,?
mean_seed42,IHAMAPPO,22639,?
mean_seed42,MA2HDQN,9328,?
mean_seed42,MADDPGMT,8157,?
mean_seed42,PPO,509,?
mean_seed42,RESMAPDDPG,4123,?
mean_seed42,SAC,21344,?
mean_seed42,SPAMD3QN,22814,?
mean_seed42,TD3,23705,?
accumulate_seed42,CARLTON,52065,?
accumulate_seed42,IHAMAPPO,133,?
accumulate_seed42,MA2HDQN,38377,?
accumulate_seed42,MADDPGMT,24055,?
accumulate_seed42,PPO,41,?
accumulate_seed42,RESMAPDDPG,38953,?
accumulate_seed42,SAC,28173,?
accumulate_seed42,SPAMD3QN,50056,?
accumulate_seed42,TD3,59157,?
