model,param,value,relpos,boundary
PPO,hidden_dim,64,0.0,LOW
PPO,learning_rate,0.0010809366764261586,0.6999,
PPO,gamma,0.9975073184286054,0.9695,HIGH
PPO,clip_range,0.2361881493638004,0.6809,
PPO,ent_coef,0.02051249550821203,0.8566,
PPO,vf_coef,0.5638821363327259,0.6065,
PPO,n_epochs,4,0.0,LOW
SAC,hidden_dim,256,1.0,HIGH
SAC,learning_rate,0.0027207252467157236,0.9713,HIGH
SAC,gamma,0.9728362403567159,0.466,
SAC,tau,0.004400956473756023,0.4946,
SAC,target_update_interval,1,0.0,LOW
TD3,hidden_dim,64,0.0,LOW
TD3,learning_rate,0.00014286087587174216,0.1049,
TD3,gamma,0.9686210900343065,0.38,
TD3,tau,0.003388090824674181,0.4073,
TD3,policy_delay,3,0.5,
TD3,target_policy_noise,0.11093660279535178,0.0547,
TD3,target_noise_clip,0.2767791941805241,0.2559,
RES-MAPDDPG,hidden_dim,64,0.0,LOW
RES-MAPDDPG,lr_actor,0.00010370908867969758,0.0107,LOW
RES-MAPDDPG,lr_critic,0.00030386862788237174,0.3268,
RES-MAPDDPG,gamma,0.9503074785171901,0.0063,LOW
RES-MAPDDPG,tau,0.002111505744716034,0.2495,
RES-MAPDDPG,num_res_blocks,1,0.0,LOW
RES-MAPDDPG,epsilon_decay,0.9935491114049353,0.3736,
MA2HDQN,hidden_dim,64,0.0,LOW
MA2HDQN,lr_q,0.0013304052839132727,0.7609,
MA2HDQN,lr_actor,0.0003339120912607416,0.3545,
MA2HDQN,lr_critic,0.00010117131728547454,0.0034,LOW
MA2HDQN,gamma,0.9610089895669421,0.2247,
MA2HDQN,tau,0.003402489714403765,0.4088,
MA2HDQN,epsilon_decay,0.9905080161893678,0.0535,
I-HAMAPPO,hidden_dim,64,0.0,LOW
I-HAMAPPO,lr_actor,0.0008433020501242809,0.6269,
I-HAMAPPO,lr_critic,0.0005608338145080542,0.507,
I-HAMAPPO,gamma,0.9986278038774985,0.9924,HIGH
I-HAMAPPO,clip_ratio,0.24947883746104182,0.7474,
I-HAMAPPO,entropy_coef,0.004483168971211849,0.6119,
I-HAMAPPO,value_coef,0.5771926186506204,0.6287,
SPAM-D3QN,hidden_dim,64,0.0,LOW
SPAM-D3QN,lr,0.0003476649150592621,0.3664,
SPAM-D3QN,gamma,0.9723474292266348,0.4561,
SPAM-D3QN,target_update_freq,200,0.0,LOW
SPAM-D3QN,epsilon_decay,0.9956279384041894,0.5924,
SPAM-D3QN,per_alpha,0.4185801650879991,0.0465,LOW
CARLTON,hidden_dim,128,0.5,
CARLTON,lr,0.00010511167829158413,0.0147,LOW
CARLTON,gamma,0.9722836721875214,0.4548,
CARLTON,omega,0.3113691375471681,0.2144,
MADDPG-MT,hidden_dim,128,0.5,
MADDPG-MT,actor_lr,0.0007661100707771367,0.5987,
MADDPG-MT,critic_lr,0.0001700037298921101,0.156,
MADDPG-MT,gamma,0.9576437314964739,0.156,
MADDPG-MT,tau,0.0011900590783184247,0.0581,
MADDPG-MT,global_critic_weight,0.7929409166199481,0.8662,
MADDPG-MT,gumbel_tau,1.4016725176148133,0.6011,
