arm,model,err_first10,err_last10,aoi_first10,aoi_last10,tail30_slope,tail30_cv,trend,convergence
mean_seed42,CARLTON,38.181,39.319,13.635,13.614,0.0898,0.108,정체,수렴
mean_seed42,IHAMAPPO,48.529,56.525,18.281,20.044,0.2587,0.167,정체,수렴
mean_seed42,MA2HDQN,37.235,48.579,15.193,18.525,0.2238,0.164,악화,수렴
mean_seed42,MADDPGMT,40.017,17.462,15.324,12.339,-0.3048,0.228,개선,수렴
mean_seed42,PPO,53.436,55.63,19.419,15.589,0.1373,0.158,정체,수렴
mean_seed42,RESMAPDDPG,37.997,9.068,15.545,10.602,0.0729,0.253,개선,수렴
mean_seed42,SAC,34.342,10.788,14.276,12.984,-0.1091,0.267,개선,수렴
mean_seed42,SPAMD3QN,29.368,9.626,12.912,12.094,0.0819,0.225,개선,수렴
mean_seed42,TD3,35.046,25.173,14.529,13.348,-0.5835,0.233,정체,수렴
accumulate_seed42,CARLTON,20.364,12.444,9.198,8.441,-0.0131,0.148,개선,수렴
accumulate_seed42,IHAMAPPO,18.173,53.724,9.151,18.796,0.1782,0.147,악화,수렴
accumulate_seed42,MA2HDQN,3.944,1.277,4.195,3.754,0.0062,0.133,개선,수렴
accumulate_seed42,MADDPGMT,1.705,3.477,2.802,5.309,0.0281,0.185,악화,수렴
accumulate_seed42,PPO,53.159,59.562,18.796,18.593,0.3453,0.154,정체,수렴
accumulate_seed42,RESMAPDDPG,4.84,1.301,4.657,4.727,0.0066,0.2,개선,수렴
accumulate_seed42,SAC,2.252,1.08,3.312,4.112,0.0029,0.163,개선,수렴
accumulate_seed42,SPAMD3QN,3.679,1.762,3.664,3.969,-0.0258,0.36,개선,미수렴
accumulate_seed42,TD3,1.461,1.445,2.482,4.189,0.0092,0.156,정체,수렴
