sweep_id,param_name,param_value,seed,AoI_mean,CBR_mean,PDR_mean,energy_efficiency,ETSI_compliance,runtime_sec,n_cam_events,status,error,method,runner_kwargs
,method,ReactDCC,42,851.49,0.4144,54.4,5.584,,,,ok,,,"{'scenario': 'urban_grid', 'n_vehicles': 30, 'seed': 42, 'method': 'ReactDCC', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,method,ReactDCC,123,964.0,0.4044,53.45,5.6181,,,,ok,,,"{'scenario': 'urban_grid', 'n_vehicles': 30, 'seed': 123, 'method': 'ReactDCC', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,method,ReactDCC,456,1065.949,0.3642,53.5,5.2355,,,,ok,,,"{'scenario': 'urban_grid', 'n_vehicles': 30, 'seed': 456, 'method': 'ReactDCC', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,method,AdaptDCC,42,806.558,0.4329,54.71,5.7911,,,,ok,,,"{'scenario': 'urban_grid', 'n_vehicles': 30, 'seed': 42, 'method': 'AdaptDCC', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,method,AdaptDCC,123,924.164,0.4186,53.68,5.7832,,,,ok,,,"{'scenario': 'urban_grid', 'n_vehicles': 30, 'seed': 123, 'method': 'AdaptDCC', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,method,AdaptDCC,456,947.374,0.3783,53.71,5.4082,,,,ok,,,"{'scenario': 'urban_grid', 'n_vehicles': 30, 'seed': 456, 'method': 'AdaptDCC', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,method,Heuristic,42,1135.512,0.3195,53.94,4.3468,,,,ok,,,"{'scenario': 'urban_grid', 'n_vehicles': 30, 'seed': 42, 'method': 'Heuristic', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,method,Heuristic,123,1253.664,0.3151,53.41,4.4109,,,,ok,,,"{'scenario': 'urban_grid', 'n_vehicles': 30, 'seed': 123, 'method': 'Heuristic', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,method,Heuristic,456,1406.108,0.2868,53.47,4.1421,,,,ok,,,"{'scenario': 'urban_grid', 'n_vehicles': 30, 'seed': 456, 'method': 'Heuristic', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,method,Fixed10Hz,42,701.385,0.4847,54.02,6.5439,,,,ok,,,"{'scenario': 'urban_grid', 'n_vehicles': 30, 'seed': 42, 'method': 'Fixed10Hz', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,method,Fixed10Hz,123,794.946,0.4714,53.19,6.5665,,,,ok,,,"{'scenario': 'urban_grid', 'n_vehicles': 30, 'seed': 123, 'method': 'Fixed10Hz', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,method,Fixed10Hz,456,822.559,0.42,53.06,6.0597,,,,ok,,,"{'scenario': 'urban_grid', 'n_vehicles': 30, 'seed': 456, 'method': 'Fixed10Hz', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,method,DecTree,42,1141.69,0.4341,55.53,0.6768,,,,ok,,,"{'scenario': 'urban_grid', 'n_vehicles': 30, 'seed': 42, 'method': 'DecTree', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
,method,DecTree,123,1220.286,0.4229,54.66,0.6758,,,,ok,,,"{'scenario': 'urban_grid', 'n_vehicles': 30, 'seed': 123, 'method': 'DecTree', 'method_params': {}, 'duration_steps': 3000, 'warmup_s': 30.0}"
