method,scenario,seed,runtime_sec,n_cam_events,CBR_mean,AoI_mean,PDR_mean,energy_efficiency,ETSI_compliance
BL-A,urban_grid,42,2264.87,1676581,0.5064,389.571,100.0,5.7343,100.0
BL-A,urban_grid,123,2292.85,1690125,0.5066,393.959,100.0,5.6752,100.0
BL-A,urban_grid,456,2236.78,1663373,0.5064,397.894,100.0,5.7102,100.0
BL-B,urban_grid,42,2241.29,1676933,0.5116,375.961,100.0,5.7355,100.0
BL-B,urban_grid,123,2394.56,1690420,0.5114,383.422,100.0,5.6762,100.0
BL-B,urban_grid,456,2322.95,1663670,0.5114,383.493,100.0,5.7112,100.0
BL-C,urban_grid,42,2162.13,1338097,0.4097,496.873,100.0,4.5766,100.0
BL-C,urban_grid,123,2245.37,1349215,0.4099,503.123,100.0,4.5304,100.0
BL-C,urban_grid,456,2176.3,1328060,0.4099,504.226,100.0,4.5591,100.0
BL-D,urban_grid,42,2487.96,2023722,0.6208,319.94,100.0,6.9216,100.0
BL-D,urban_grid,123,2527.35,2040350,0.6208,322.235,100.0,6.8512,100.0
BL-D,urban_grid,456,2473.08,2007301,0.6209,323.719,100.0,6.8909,100.0
Proposed,urban_grid,42,2391.81,1676581,0.5064,390.235,100.0,1.8133,100.0
Proposed,urban_grid,123,2456.83,1690125,0.5066,394.497,100.0,1.7946,100.0
Proposed,urban_grid,456,2404.75,1663373,0.5064,398.466,100.0,1.8057,100.0
