Time,VehicleID,X,Y,Z,State
0.0,V1,3728.7,379.8,264.6,DESCENT
0.0,V3,945.1,2926.0,106.8,CLIMB
0.0,V4,3184.3,84.0,186.6,DESCENT
1.0,V1,3728.7,379.8,261.6,DESCENT
1.0,V3,945.1,2926.0,111.8,CLIMB
1.0,V4,3184.3,84.0,183.6,DESCENT
2.0,V1,3728.7,379.8,258.6,DESCENT
2.0,V3,945.1,2926.0,116.8,CLIMB
2.0,V4,3184.3,84.0,180.6,DESCENT
3.0,V1,3728.7,379.8,255.6,DESCENT
3.0,V3,945.1,2926.0,121.8,CLIMB
3.0,V4,3184.3,84.0,177.6,DESCENT
4.0,V1,3728.7,379.8,252.6,DESCENT
4.0,V3,945.1,2926.0,126.8,CLIMB
4.0,V4,3184.3,84.0,174.6,DESCENT
5.0,V1,3728.7,379.8,249.6,DESCENT
5.0,V3,945.1,2926.0,131.8,CLIMB
5.0,V4,3184.3,84.0,171.6,DESCENT
6.0,V1,3728.7,379.8,246.6,DESCENT
6.0,V3,945.1,2926.0,136.8,CLIMB
6.0,V4,3184.3,84.0,168.6,DESCENT
7.0,V1,3728.7,379.8,243.6,DESCENT
7.0,V3,945.1,2926.0,141.8,CLIMB
7.0,V4,3184.3,84.0,165.6,DESCENT
8.0,V1,3728.7,379.8,240.6,DESCENT
8.0,V3,945.1,2926.0,146.8,CLIMB
8.0,V4,3184.3,84.0,162.6,DESCENT
9.0,V1,3728.7,379.8,237.6,DESCENT
9.0,V3,945.1,2926.0,151.8,CLIMB
9.0,V4,3184.3,84.0,159.6,DESCENT
10.0,V1,3728.7,379.8,234.6,DESCENT
10.0,V2,3728.7,379.8,264.6,DESCENT
10.0,V3,945.1,2926.0,156.8,CLIMB
10.0,V4,3184.3,84.0,156.6,DESCENT
11.0,V1,3728.7,379.8,231.6,DESCENT
11.0,V2,3728.7,379.8,261.6,DESCENT
11.0,V3,945.1,2926.0,161.8,CLIMB
11.0,V4,3184.3,84.0,153.6,DESCENT
12.0,V1,3728.7,379.8,228.6,DESCENT
12.0,V2,3728.7,379.8,258.6,DESCENT
12.0,V3,945.1,2926.0,166.8,CLIMB
12.0,V4,3186.3,85.5,150.6,CRUISE
13.0,V1,3728.7,379.8,225.6,DESCENT
13.0,V2,3728.7,379.8,255.6,DESCENT
13.0,V3,945.1,2926.0,171.8,CLIMB
13.0,V4,3190.3,88.5,147.7,CRUISE
14.0,V1,3728.7,379.8,222.6,DESCENT
14.0,V2,3728.7,379.8,252.6,DESCENT
14.0,V3,945.1,2926.0,176.8,CLIMB
14.0,V4,3196.2,93.1,145.1,CRUISE
15.0,V1,3728.7,379.8,219.6,DESCENT
15.0,V2,3728.7,379.8,249.6,DESCENT
15.0,V3,945.1,2926.0,181.8,CLIMB
15.0,V4,3204.1,99.1,143.0,CRUISE
16.0,V1,3728.7,379.8,216.6,DESCENT
16.0,V2,3728.7,379.8,246.6,DESCENT
16.0,V3,945.1,2926.0,186.8,CLIMB
16.0,V4,3214.0,106.6,141.3,CRUISE
17.0,V1,3728.7,379.8,213.6,DESCENT
17.0,V2,3728.7,379.8,243.6,DESCENT
17.0,V3,945.1,2926.0,191.8,CLIMB
17.0,V4,3225.8,115.6,140.0,CRUISE
18.0,V1,3728.7,379.8,210.6,DESCENT
18.0,V2,3728.7,379.8,240.6,DESCENT
18.0,V3,945.1,2926.0,196.8,CLIMB
18.0,V4,3239.6,126.1,139.1,CRUISE
19.0,V1,3728.7,379.8,207.6,DESCENT
19.0,V2,3728.7,379.8,237.6,DESCENT
19.0,V3,946.1,2923.7,201.7,CRUISE
19.0,V4,3255.3,138.1,138.7,CRUISE
20.0,V1,3728.7,379.8,204.6,DESCENT
20.0,V2,3728.7,379.8,234.6,DESCENT
