Time,VehicleID,X,Y,Z,State
0.0,V1,12154.6,3102.2,200.0,DESCENT
0.0,V3,8453.7,704.9,56.0,CLIMB
0.0,V4,3184.3,19053.4,124.4,CLIMB
1.0,V1,12154.6,3102.2,197.0,DESCENT
1.0,V3,8453.7,704.9,61.0,CLIMB
1.0,V4,3184.3,19053.4,129.4,CLIMB
2.0,V1,12154.6,3102.2,194.0,DESCENT
2.0,V3,8453.7,704.9,66.0,CLIMB
2.0,V4,3184.3,19053.4,134.4,CLIMB
3.0,V1,12154.6,3102.2,191.0,DESCENT
3.0,V3,8453.7,704.9,71.0,CLIMB
3.0,V4,3184.3,19053.4,139.4,CLIMB
4.0,V1,12154.6,3102.2,188.0,DESCENT
4.0,V3,8453.7,704.9,76.0,CLIMB
4.0,V4,3184.3,19053.4,144.4,CLIMB
5.0,V1,12154.6,3102.2,185.0,DESCENT
5.0,V3,8453.7,704.9,81.0,CLIMB
5.0,V4,3184.3,19053.4,149.4,CLIMB
6.0,V1,12154.6,3102.2,182.0,DESCENT
6.0,V3,8453.7,704.9,86.0,CLIMB
6.0,V4,3186.2,19051.7,154.2,CRUISE
7.0,V1,12154.6,3102.2,179.0,DESCENT
7.0,V3,8453.7,704.9,91.0,CLIMB
7.0,V4,3189.8,19048.3,158.5,CRUISE
8.0,V1,12154.6,3102.2,176.0,DESCENT
8.0,V3,8453.7,704.9,96.0,CLIMB
8.0,V4,3195.2,19043.3,162.5,CRUISE
9.0,V1,12154.6,3102.2,173.0,DESCENT
9.0,V3,8453.7,704.9,101.0,CLIMB
9.0,V4,3202.4,19036.5,166.1,CRUISE
10.0,V1,12154.6,3102.2,170.0,DESCENT
10.0,V2,12154.6,3102.2,200.0,DESCENT
10.0,V3,8453.7,704.9,106.0,CLIMB
10.0,V4,3211.5,19028.1,169.2,CRUISE
11.0,V1,12154.6,3102.2,167.0,DESCENT
11.0,V2,12154.6,3102.2,197.0,DESCENT
11.0,V3,8453.7,704.9,111.0,CLIMB
11.0,V4,3222.3,19018.0,172.0,CRUISE
12.0,V1,12154.6,3102.2,164.0,DESCENT
12.0,V2,12154.6,3102.2,194.0,DESCENT
12.0,V3,8453.7,704.9,116.0,CLIMB
12.0,V4,3235.0,19006.2,174.4,CRUISE
13.0,V1,12154.6,3102.2,161.0,DESCENT
13.0,V2,12154.6,3102.2,191.0,DESCENT
13.0,V3,8453.7,704.9,121.0,CLIMB
13.0,V4,3249.4,18992.7,176.3,CRUISE
14.0,V1,12154.6,3102.2,158.0,DESCENT
14.0,V2,12154.6,3102.2,188.0,DESCENT
14.0,V3,8453.7,704.9,126.0,CLIMB
14.0,V4,3265.6,18977.5,177.9,CRUISE
15.0,V1,12154.6,3102.2,155.0,DESCENT
15.0,V2,12154.6,3102.2,185.0,DESCENT
15.0,V3,8453.7,704.9,131.0,CLIMB
15.0,V4,3283.7,18960.6,179.0,CRUISE
16.0,V1,12154.6,3102.2,152.0,DESCENT
16.0,V2,12154.6,3102.2,182.0,DESCENT
16.0,V3,8453.7,704.9,136.0,CLIMB
16.0,V4,3303.5,18942.1,179.7,CRUISE
17.0,V1,12153.3,3104.3,149.1,CRUISE
17.0,V2,12154.6,3102.2,179.0,DESCENT
17.0,V3,8453.7,704.9,141.0,CLIMB
17.0,V4,3323.0,18923.9,178.0,CRUISE
18.0,V1,12150.8,3108.7,146.3,CRUISE
18.0,V2,12154.6,3102.2,176.0,DESCENT
18.0,V3,8453.7,704.9,146.0,CLIMB
18.0,V4,3340.7,18907.4,176.2,DESCENT
19.0,V1,12147.1,3115.1,143.9,CRUISE
19.0,V2,12154.6,3102.2,173.0,DESCENT
19.0,V3,8453.7,704.9,151.0,CLIMB
19.0,V4,3356.5,18892.6,174.3,CRUISE
20.0,V1,12142.1,3123.7,142.0,CRUISE
20.0,V2,12154.6,3102.2,170.0,DESCENT
20.0,V3,8453.7,704.9,156.0,CLIMB
20.0,V4,3370.6,18879.5,172.4,CRUISE
21.0,V1,12136.0,3134.5,140.4,CRUISE
21.0,V2,12154.6,3102.2,167.0,DESCENT
21.0,V3,8453.7,704.9,161.0,CLIMB
21.0,V4,3382.7,18868.1,170.4,CRUISE
22.0,V1,12128.5,3147.4,139.3,CRUISE
22.0,V2,12154.6,3102.2,164.0,DESCENT
22.0,V3,8453.7,704.9,166.0,CLIMB
22.0,V4,3393.1,18858.5,168.4,CRUISE
23.0,V1,12119.9,3162.4,138.6,CRUISE
23.0,V2,12154.6,3102.2,161.0,DESCENT
23.0,V3,8453.7,704.9,171.0,CLIMB
23.0,V4,3401.6,18850.5,166.4,CRUISE
24.0,V1,12110.0,3179.5,138.4,CRUISE
24.0,V2,12154.6,3102.2,158.0,DESCENT
24.0,V3,8453.7,704.9,176.0,CLIMB
24.0,V4,3408.3,18844.2,164.3,CRUISE
25.0,V1,12098.9,3198.8,138.6,CRUISE
