iter	MAE	RMSE
0	54.97791896	106.7164064
1	51.74891707	101.2311758
2	48.7535217	96.47046921
3	46.38766574	93.02128458
4	44.32374748	89.69551284
5	42.85061811	86.24715728
6	41.56947489	83.79687496
7	40.41260836	81.59841706
8	39.50384176	79.94131875
9	38.82472148	78.75821642
10	38.19389296	77.15669186
11	37.76857966	76.54585001
12	37.18993249	75.89479747
13	36.87746211	74.60080097
14	36.47813092	72.97428231
15	36.08066579	72.66431726
16	35.72401994	71.90571955
17	35.38956491	71.05525368
18	35.18132429	70.51124114
19	34.90500278	70.07756518
20	34.71412095	69.85035053
21	34.44323131	68.97509451
22	34.32169942	68.74545151
23	34.01831319	67.68719445
24	33.87245154	67.52813082
25	33.79967199	67.24183352
26	33.65277251	67.05752536
27	33.48117409	66.18827979
28	33.29361057	65.99306848
29	33.15775298	65.8545874
30	32.98966833	65.7218923
31	32.84934997	65.43526642
32	32.6961114	64.754232
33	32.58238633	64.64539261
34	32.46199327	64.37111552
35	32.38771382	64.28893656
36	32.34488072	63.9398735
37	32.33854288	63.89915355
38	32.26032552	63.72336799
39	32.05910869	63.31106481
40	31.78974863	62.09306826
41	31.69551016	62.00785318
42	31.6873883	61.93532643
43	31.66257285	61.86660838
44	31.40341429	60.68329347
45	31.29025718	60.40739472
46	31.21803531	60.25674573
47	31.12682058	59.7574632
48	31.11943164	59.72365451
49	31.0351729	59.63148624
50	31.00005744	59.51323248
51	30.71055081	58.34548468
52	30.61220708	57.98585395
53	30.60519627	57.94911686
54	30.6015518	57.93390675
55	30.59530549	57.91903158
56	30.57614322	57.89204928
57	30.56837153	57.85796609
58	30.56662954	57.85098017
59	30.5592008	57.81582437
60	30.50782046	57.73929548
61	30.47110753	57.69765239
62	30.46597311	57.68785542
63	30.45815481	57.65659369
64	30.38405415	57.53973682
65	30.22499849	57.33089586
66	30.14194757	57.07482078
67	30.03606518	56.82211456
68	29.96907243	56.76645908
69	29.95915697	56.75460969
70	29.94564705	56.72088041
71	29.92613192	56.67372588
72	29.76765366	55.8983909
73	29.62456837	55.45446938
74	29.62346273	55.3485032
75	29.53778853	55.23574091
76	29.46690331	55.18090156
77	29.37941147	55.08543537
78	29.31719047	55.00909383
79	29.13090291	54.68846711
80	29.12500218	54.66228835
81	29.11928349	54.63559907
82	29.08450516	54.56213546
83	29.03274989	54.50899272
84	29.00863179	54.3436511
85	28.8778767	53.59258905
86	28.76707555	53.16125583
87	28.75808055	53.13479028
88	28.74592313	53.05749443
89	28.73286561	52.9691947
90	28.63200453	52.82143698
91	28.55407851	52.56132296
92	28.45842001	52.45516785
93	28.40560103	52.38020926
94	28.32642642	52.15590071
95	28.29255276	51.96408772
96	28.28588804	51.94782789
97	28.2754256	51.87157064
98	28.24827306	51.76886396
99	28.23139387	51.68746671
100	28.22411779	51.63800524
101	28.14724234	51.12159069
102	28.14656026	51.10189379
103	28.03885801	50.63549996
104	27.92838849	50.28743072
105	27.88623288	50.12618676
106	27.75314191	49.56838758
107	27.74856406	49.55062713
108	27.68992066	49.40257313
109	27.60179052	49.00546023
110	27.48703745	48.57761817
111	27.43624618	48.49808254
112	27.36641642	48.28055688
113	27.13953938	47.34582451
114	27.07999347	47.17155577
115	27.0251915	47.06841526
116	26.98105853	46.82459791
117	26.97056663	46.75402345
118	26.96165634	46.69525869
119	26.9095916	46.62178376
120	26.88022456	46.47130869
121	26.78918657	46.22032719
122	26.73066082	46.09919596
123	26.72304637	46.0413638
124	26.70659017	45.99203967
125	26.70033993	45.98021193
126	26.63921434	45.83664365
127	26.63591636	45.82733146
128	26.63289769	45.81121066
129	26.58470235	45.65389829
130	26.58210115	45.64720283
131	26.58015117	45.63877262
132	26.5113193	45.42804358
133	26.50375557	45.37249576
134	26.49700681	45.3609999
135	26.40764368	44.96560538
136	26.33297514	44.7282606
137	26.20646841	44.22878037
138	26.20464028	44.22349976
139	26.20007947	44.20752619
140	26.19849827	44.20264107
141	26.19684013	44.19796117
142	26.1535033	44.08057027
143	26.13982925	44.05767996
144	26.13849236	44.05411136
145	26.1055928	44.00556459
146	26.05923765	43.92491168
147	26.04538878	43.85545726
148	25.90258992	43.28716729
149	25.85456882	43.0802115
150	25.84210898	43.01817018
151	25.7476536	42.8509747
152	25.73380973	42.78836522
153	25.72186923	42.72871829
154	25.71339026	42.676816
155	25.68849532	42.63636868
156	25.61611774	42.5055876
157	25.61055628	42.46099466
158	25.59462773	42.41946037
159	25.52152519	42.30215045
160	25.4786715	42.12699608
161	25.47615246	42.12223066
162	25.44843801	42.03683073
163	25.39176776	41.95819079
164	25.38190193	41.90992514
165	25.35521242	41.86456603
166	25.3425903	41.81673568
167	25.24263365	41.53637415
168	25.23355988	41.51580664
169	25.16759048	41.34386807
170	25.16217663	41.29804044
171	25.15444169	41.28515287
172	25.05081397	41.12548736
173	24.98173989	41.04563188
174	24.90231546	40.97422437
175	24.89584735	40.94263727
176	24.82070984	40.62019263
177	24.79562443	40.53890205
178	24.77996049	40.51893738
179	24.68762329	40.1305921
180	24.63314796	40.05548796
181	24.55954257	39.97536349
182	24.53398563	39.89832654
183	24.50529833	39.8603948
184	24.48133288	39.81475736
185	24.45344597	39.74152634
186	24.39327694	39.50772906
187	24.37252137	39.47409869
188	24.30212016	39.33283343
189	24.20333546	39.14903595
190	24.14101863	38.98182506
191	24.08088512	38.74510782
192	24.01996825	38.53966551
193	23.91018878	38.31489706
194	23.88972498	38.27648239
195	23.83510525	38.1552915
196	23.82496631	38.11393171
197	23.76336116	37.87112816
198	23.75397604	37.83169361
199	23.73501723	37.76757155
200	23.72978012	37.73308809
201	23.60793028	37.45547257
202	23.52667956	37.3542569
203	23.45830501	37.24417204
204	23.45738155	37.24297596
205	23.45021832	37.20773596
206	23.33954691	36.92805986
207	23.33085524	36.91375498
208	23.23863765	36.67775702
209	23.21820065	36.63609279
210	23.17104351	36.56151065
211	23.09063	36.42047265
212	23.04175154	36.28185234
213	23.03590108	36.2482354
214	22.97870949	36.10693527
215	22.92903895	35.93650693
216	22.87149126	35.79267894
217	22.83413912	35.72770832
218	22.70735309	35.50495352
219	22.68668368	35.44608268
220	22.62340951	35.31365669
221	22.59787056	35.26902804
222	22.54037675	35.1561712
223	22.50740867	35.10751773
224	22.49422989	35.07545839
225	22.47191073	35.04198951
226	22.38903585	34.80397763
227	22.3321746	34.74580534
228	22.27388976	34.65713678
229	22.21586932	34.54935715
230	22.16791048	34.43223138
231	22.11248718	34.25858975
232	22.08508657	34.22882032
233	22.04661717	34.14052338
234	22.01181549	34.08406835
235	22.00695345	34.07881337
236	22.00632974	34.07810529
237	21.94320918	33.96275383
238	21.92723131	33.91963803
239	21.87938603	33.85829446
240	21.87772218	33.85685121
241	21.83592912	33.78445689
242	21.83036802	33.75497303
243	21.81159993	33.69835462
244	21.80507344	33.6818417
245	21.68080277	33.29301951
246	21.67947244	33.29112145
247	21.58641507	33.03051068
248	21.50848961	32.8044571
249	21.42068952	32.61214539
250	21.33536838	32.46792559
251	21.2658143	32.24368687
252	21.25261917	32.22428641
253	21.24110897	32.19572597
254	21.23043435	32.15953263
255	21.22686322	32.13037966
256	21.22344974	32.10502936
257	21.11845298	31.79967438
258	21.11180531	31.77044862
