iter	Passed	Remaining
0	2	528
1	3	468
2	5	438
3	6	428
4	8	420
5	9	412
6	11	408
7	12	405
8	14	404
9	16	400
10	17	400
11	19	397
12	20	393
13	22	391
14	23	388
15	25	384
16	26	383
17	28	381
18	29	378
19	31	376
20	33	375
21	34	373
22	36	375
23	38	373
24	39	371
25	41	369
26	42	367
27	44	365
28	45	363
29	47	361
30	48	359
31	50	358
32	52	356
33	53	355
34	55	354
35	56	352
36	58	350
37	60	349
38	61	347
39	63	347
40	65	345
41	66	344
42	68	342
43	69	340
44	71	339
45	73	341
46	76	344
47	78	343
48	79	339
49	80	337
50	82	336
51	83	334
52	85	332
53	87	330
54	88	328
55	90	326
56	91	324
57	93	322
58	93	318
59	95	316
60	96	314
61	98	311
62	99	309
63	101	308
64	102	306
65	104	304
66	105	303
67	107	301
68	108	299
69	110	297
70	111	295
71	113	294
72	114	292
73	116	291
74	118	289
75	119	287
76	121	286
77	122	284
78	124	282
79	125	280
80	127	279
81	128	277
82	130	276
83	131	274
84	133	272
85	134	271
86	136	269
87	138	268
88	139	266
89	141	265
90	143	264
91	144	262
92	146	261
93	147	259
94	149	257
95	152	258
96	153	256
97	155	255
98	156	253
99	158	252
100	160	250
101	161	249
102	163	246
103	164	245
104	166	244
105	168	242
106	169	241
107	171	239
108	173	238
109	174	236
110	176	235
111	177	233
112	179	231
113	181	230
114	182	228
115	184	227
116	185	225
117	187	224
118	189	222
119	190	220
120	192	219
121	193	217
122	195	215
123	196	214
124	198	212
125	199	210
126	201	209
127	203	207
128	204	206
129	206	204
130	207	203
131	211	203
132	213	201
133	214	200
134	216	198
135	218	197
136	220	196
137	221	194
138	223	193
139	225	191
140	226	189
141	228	188
142	230	186
143	232	185
144	233	183
145	235	182
146	238	181
147	240	180
148	244	180
149	246	179
150	248	177
151	250	176
152	252	175
153	254	173
154	257	173
155	259	171
156	261	169
157	262	168
158	264	166
159	265	164
160	267	162
161	268	160
162	270	159
163	271	157
164	273	155
165	275	154
166	276	152
167	278	150
168	280	149
169	282	147
170	284	146
171	285	144
172	287	142
173	289	141
174	290	139
175	292	137
176	294	136
177	296	135
178	298	133
179	300	131
180	302	130
181	303	128
182	305	126
183	307	125
184	309	123
185	311	122
186	312	120
187	314	118
188	316	117
189	317	115
190	319	113
191	321	112
192	323	110
193	325	108
194	328	107
195	330	106
196	332	104
197	333	102
198	335	101
199	337	99
200	339	97
201	341	96
202	345	95
203	347	93
204	349	92
205	351	90
206	353	88
207	355	87
208	357	85
209	359	83
210	361	82
211	362	80
212	364	78
213	366	77
214	368	75
215	369	73
216	371	71
217	373	70
218	374	68
219	376	66
220	378	65
221	379	63
222	381	61
223	382	59
224	384	58
225	386	56
226	387	54
227	389	52
228	390	51
229	392	49
230	394	47
231	395	46
232	397	44
233	398	42
234	400	40
235	401	39
236	403	37
237	404	35
238	406	33
239	407	32
240	409	30
241	411	28
242	412	27
243	414	25
244	415	23
245	417	22
246	419	20
247	420	18
248	422	16
249	424	15
250	425	13
251	427	11
252	428	10
253	430	8
254	433	6
255	435	5
256	437	3
257	438	1
258	440	0
