Model,Step,MAE
LR,0,245.5771026611328
LR,1,126315.36524954998
LR,2,1541.7891775813355
LR,3,256.0600735847445
LR,4,189.05106835742134
LR,5,2996.184347315392
LR,6,69768263.76917821
LR,7,104.80594723025206
LR,8,28543.08642406595
LR,9,244467.69433722767
LR,10,11424.88346766633
LR,11,21862.378417895266
LR,12,9485.309361998583
LR,13,1425252.7004023227
LR,14,8410.265922680223
LR,15,5015.087670835714
LR,16,1733.8985543694116
LR,17,241.87630602080304
LR,18,122.51537016687013
LR,19,58668.17819919328
LR,20,46624.303181039075
LR,21,131.53588150815844
LR,22,12281.023719837349
LR,23,2119747.274928094
LR,24,155.62245297446285
LR,25,553.5478233647452
LR,26,63114.339767974314
LR,27,395.4067086350321
LR,28,9023.783549406182
LR,29,430857.6421366624
LR,30,108.34291346804272
LR,31,4612659.36301304
LR,32,2651.37015771806
LR,33,265773.584998226
LR,34,182.8082440146416
LR,35,203272173.95307332
LR,36,94026.75932739566
LR,37,733551.6410755019
LR,38,2104647.3278880105
LR,39,8064.391776895469
LR,40,7101546.933970786
LR,41,68429.46844472879
LR,42,2877.3062313565565
LR,43,589.271308702096
LR,44,246.00041033726546
LR,45,745928.5925876793
LR,46,119.707901558901
LR,47,3887582.5738523565
LR,48,122.1155742092404
LR,49,18654.347572715706
LR,50,97999145.30893342
LR,51,4287.7352110871625
LR,52,2790.6319381292446
LR,53,3358.8033963022062
LR,54,9797.095375982983
LR,55,149.1529723129139
LR,56,330.78722495089715
LR,57,152.5933338121436
LR,58,515487.03988544305
LR,59,62442.90991367415
LR,60,158.10292713472455
LR,61,10687463.617647218
LR,62,9393.684911089533
LR,63,1038768.0662067541
LR,64,217015696.24629244
LR,65,154.66851863513276
LR,66,19758.596055978294
LR,67,184.8670292855735
LR,68,68826.99689496758
LR,69,2577277.005494933
LR,70,34654001.250750944
LR,71,248525623.7537522
LR,72,28616.53711100749
LR,73,3562357.1519567803
LR,74,57295.87966037861
LR,75,145.63678771628946
LR,76,209.01017721004465
LR,77,5935.848842713013
LR,78,1306.021793484211
LR,79,164.01337895308615
LR,80,146.55188980601974
LR,81,174.54905239987676
LR,82,1276.1667990778324
LR,83,133085.05676545386
LR,84,149.11487866805624
LR,85,194.60294316121616
LR,86,28587.401434365922
LR,87,156.2125515720694
LR,88,6812.588635225992
LR,89,605.8967795908012
LR,90,162267.26241597955
LR,91,24870249.765548717
LR,92,463678092.7045467
LR,93,597290.8200409717
LR,94,1279.4474703076764
LR,95,48236.9535194801
LR,96,536742.2848022211
LR,97,17738.398404187228
LR,98,12229.636999307866
LR,99,228.59215715396965
LR,100,131.6450063815405
LR,101,62904047.70427658
LR,102,36657.075529427275
LR,103,2850.016456152183
LR,104,279256.6896847026
LR,105,203637.13384784124
LR,106,1959.5667765696874
LR,107,338910.34139187785
LR,108,225586.38032185947
LR,109,2394.0553308816898
LR,110,166836.74249169178
LR,111,81828.94563727005
LR,112,324105.166236394
LR,113,431.9703475896893
LR,114,4173.5426459741375
LR,115,438.73799123962453
LR,116,144.11829670930217
LR,117,6695.889196313656
LR,118,8908.889913244217
LR,119,233276.8691274124
LR,120,172.50080702688444
LR,121,39606.08627528781
LR,122,3967433.845484632
LR,123,19963.722469403358
LR,124,8348972.453199535
LR,125,3505.625673134142
LR,126,87010075.30495447
LR,127,195073.59795777756
LR,128,112.33150772969103
LR,129,15971462.997310853
LR,130,270383.0510319273
LR,131,519827.59263812675
LR,132,25346.58432613988
LR,133,133797.24380618363
LR,134,246913.77252920743
LR,135,2817160.3933782456
LR,136,926166.7928961265
LR,137,436.9079491172985
LR,138,82132.69093885885
LR,139,3935.5663053461067
LR,140,598.4947575472697
LR,141,188.17839918274356
LR,142,25399.23928228495
LR,143,199.09547072872857
LR,144,456.5696110173508
LR,145,169.7208698553227
LR,146,168.92926781793156
LR,147,227.69812225950372
LR,148,158.6521717758871
LR,149,144.87755688963034
LR,150,224389.12757679928
LR,151,12132.35709137155
LR,152,215.62374501165698
LR,153,3563.321609595143
LR,154,201195.07570610498
LR,155,1618.8011690895412
LR,156,501.41448195592335
LR,157,548962.6630451572
LR,158,139.95399030870882
LR,159,22784.701360602478
LR,160,15764084.58664589
LR,161,204.24106863967864
LR,162,114.2619338147226
LR,163,17652.010009847043
LR,164,69493920.27151307
LR,165,22034.168505353377
LR,166,13300.360665347096
LR,167,200.40703068159212
LR,168,35771.71019569707
LR,169,376.6103668764721
LR,170,115.85873884833795
LR,171,935.1624729793489
LR,172,190.62555881914898
LR,173,93879.34098162201
LR,174,316422.46391536156
LR,175,278873.2710846886
LR,176,174.04183753735072
LR,177,712080390.8698133
LR,178,142.58107469622047
LR,179,167248.16653497532
LR,180,1601042.2252212535
LR,181,107693.07059061172
LR,182,320.8617492758034
LR,183,6973226.718954841
LR,184,177.73174456656034
LR,185,34187.822276231396
LR,186,135.05483530588876
LR,187,3163160.589563749
LR,188,13715.198352691465
LR,189,120.67075555740143
LR,190,29206.77200722767
LR,191,227.32271449022574
LR,192,10796.420850113322
LR,193,322.77224902029394
LR,194,92127.85520957336
LR,195,170.45730891722314
LR,196,126.78127092784855
LR,197,299.34097040657065
LR,198,14664.632481098319
LR,199,8080.0320716699025
LR,200,507.5147350062532
