scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,CHR,CDSR,AoI_violation_rate,PCO,RLBI
A,RILP,1,0,0.0,5,42,0.545533,0.019876,0.001654,1.0,0.948887
A,RILP,1,0,0.0,5,43,0.56196,0.021238,0.002741,1.0,0.956889
A,RILP,1,0,0.0,5,44,0.536485,0.013718,0.003359,1.0,0.954036
A,RILP-Greedy,1,0,0.0,5,42,0.529124,0.019384,0.002654,1.0,0.938887
A,RILP-Greedy,1,0,0.0,5,43,0.545551,0.020746,0.003741,1.0,0.946889
A,RILP-Greedy,1,0,0.0,5,44,0.520076,0.013226,0.004359,1.0,0.944036
A,Nam2023b,1,0,0.0,5,42,0.490836,0.018235,0.014481,0.9,0.878887
A,Nam2023b,1,0,0.0,5,43,0.507263,0.019597,0.016111,0.9,0.886889
A,Nam2023b,1,0,0.0,5,44,0.481787,0.012077,0.017038,0.9,0.884036
A,Nam2025,1,0,0.0,5,42,0.479896,0.017907,0.011481,0.95,0.898887
A,Nam2025,1,0,0.0,5,43,0.496323,0.019269,0.013111,0.95,0.906889
A,Nam2025,1,0,0.0,5,44,0.470848,0.011749,0.014038,0.95,0.904036
A,Youn2026,1,0,0.0,5,42,0.501775,0.018563,0.009481,1.05,0.908887
A,Youn2026,1,0,0.0,5,43,0.518202,0.019926,0.011111,1.05,0.916889
A,Youn2026,1,0,0.0,5,44,0.492727,0.012405,0.012038,1.05,0.914036
A,V2I-Base,1,0,0.0,5,42,0.518184,0.014989,0.024481,1.0,1.0
A,V2I-Base,1,0,0.0,5,43,0.534611,0.019483,0.026111,1.0,1.0
A,V2I-Base,1,0,0.0,5,44,0.509136,0.017292,0.027038,1.0,1.0
A,V2V-Base,1,0,0.0,5,42,0.436138,0.016594,0.029308,0.85,0.848887
A,V2V-Base,1,0,0.0,5,43,0.452565,0.017957,0.031481,0.85,0.856889
A,V2V-Base,1,0,0.0,5,44,0.42709,0.010436,0.032717,0.85,0.854036
A,Random-K,1,0,0.0,5,42,0.105937,0.00254,0.079443,0.5,0.535099
A,Random-K,1,0,0.0,5,43,0.1168,0.0,0.083444,0.5,0.543796
A,Random-K,1,0,0.0,5,44,0.12298,0.003878,0.082018,0.5,0.476234
A,RILP,1,0,1.0,5,42,0.545533,0.019876,0.001103,1.0,0.948887
A,RILP,1,0,1.0,5,43,0.56196,0.021238,0.001827,1.0,0.956889
A,RILP,1,0,1.0,5,44,0.536485,0.013718,0.002239,1.0,0.954036
A,RILP-Greedy,1,0,1.0,5,42,0.529124,0.019384,0.001769,1.0,0.938887
A,RILP-Greedy,1,0,1.0,5,43,0.545551,0.020746,0.002494,1.0,0.946889
A,RILP-Greedy,1,0,1.0,5,44,0.520076,0.013226,0.002906,1.0,0.944036
A,Nam2023b,1,0,1.0,5,42,0.490836,0.018235,0.014481,0.9,0.878887
A,Nam2023b,1,0,1.0,5,43,0.507263,0.019597,0.016111,0.9,0.886889
A,Nam2023b,1,0,1.0,5,44,0.481787,0.012077,0.017038,0.9,0.884036
A,Nam2025,1,0,1.0,5,42,0.479896,0.017907,0.011481,0.95,0.898887
