sweep_id,param_name,param_value,seed,AoI_mean,CBR_mean,PDR_mean,energy_efficiency,ETSI_compliance,runtime_sec,n_cam_events,status,error
SA2,method,ReactDCC,42,602.56,0.0097,100.0,33.0073,100.0,1.92,2157,ok,,ReactDCC
SA2,method,ReactDCC,123,503.788,0.0078,100.0,44.9169,100.0,1.94,2405,ok,,ReactDCC
SA2,method,ReactDCC,456,267.46,0.0145,100.0,30.1038,100.0,2.08,2773,ok,,ReactDCC
SA2,method,AdaptDCC,42,602.56,0.0097,100.0,33.0073,100.0,1.94,2157,ok,,AdaptDCC
SA2,method,AdaptDCC,123,503.788,0.0078,100.0,44.9169,100.0,1.94,2405,ok,,AdaptDCC
SA2,method,AdaptDCC,456,267.46,0.0145,100.0,30.1038,100.0,2.06,2773,ok,,AdaptDCC
SA2,method,Heuristic,42,602.56,0.0097,100.0,33.0073,100.0,1.87,2157,ok,,Heuristic
SA2,method,Heuristic,123,503.788,0.0078,100.0,44.9169,100.0,1.97,2405,ok,,Heuristic
SA2,method,Heuristic,456,267.46,0.0145,100.0,30.1038,100.0,2.03,2773,ok,,Heuristic
SA2,method,Fixed10Hz,42,602.56,0.0097,100.0,33.0073,100.0,1.9,2157,ok,,Fixed10Hz
SA2,method,Fixed10Hz,123,503.788,0.0078,100.0,44.9169,100.0,2.01,2405,ok,,Fixed10Hz
SA2,method,Fixed10Hz,456,267.46,0.0145,100.0,30.1038,100.0,2.03,2773,ok,,Fixed10Hz
SA2,method,DecTree,42,941.006,0.0097,100.0,3.3007,100.0,3.3,2157,ok,,DecTree
SA2,method,DecTree,123,407.762,0.0078,100.0,4.4917,100.0,2.37,2405,ok,,DecTree
SA2,method,DecTree,456,211.718,0.0145,100.0,3.0104,100.0,2.5,2773,ok,,DecTree
SA2,method,StdMLP,42,471.382,0.0095,100.0,5.9496,100.0,3.02,2106,ok,,StdMLP
SA2,method,StdMLP,123,340.368,0.0074,100.0,18.8427,100.0,3.15,2268,ok,,StdMLP
SA2,method,StdMLP,456,199.615,0.0139,100.0,6.3356,100.0,3.43,2668,ok,,StdMLP
SA2,method,Proposed,42,602.56,0.0097,100.0,16.5428,100.0,2.05,2157,ok,,Proposed
SA2,method,Proposed,123,503.788,0.0078,100.0,22.5118,100.0,2.07,2405,ok,,Proposed
SA2,method,Proposed,456,267.46,0.0145,100.0,15.0876,100.0,2.23,2773,ok,,Proposed
