sweep_id,param_name,param_value,seed,AoI_mean,CBR_mean,PDR_mean,energy_efficiency,ETSI_compliance,runtime_sec,n_cam_events,status,error,method
SA4,scenario,urban_grid,42,602.56,0.0097,100.0,33.0073,100.0,1.89,2157,ok,,ReactDCC
SA4,scenario,urban_grid,123,503.788,0.0078,100.0,44.9169,100.0,1.95,2405,ok,,ReactDCC
SA4,scenario,urban_grid,456,267.46,0.0145,100.0,30.1038,100.0,2.05,2773,ok,,ReactDCC
SA4,scenario,urban_grid,42,602.56,0.0097,100.0,33.0073,100.0,1.89,2157,ok,,ReactDCC
SA4,scenario,urban_grid,123,503.788,0.0078,100.0,44.9169,100.0,2.0,2405,ok,,ReactDCC
SA4,scenario,urban_grid,456,267.46,0.0145,100.0,30.1038,100.0,2.01,2773,ok,,ReactDCC
SA4,scenario,urban_grid,42,602.56,0.0097,100.0,33.0073,100.0,1.89,2157,ok,,ReactDCC
SA4,scenario,urban_grid,123,396.209,0.0085,100.0,41.3512,100.0,1.97,2604,ok,,ReactDCC
SA4,scenario,urban_grid,456,232.842,0.0173,100.0,30.7167,100.0,2.16,3318,ok,,ReactDCC
SA4,scenario,highway,42,100.0,0.0136,100.0,10.4247,100.0,2.07,3026,ok,,ReactDCC
SA4,scenario,highway,123,102.41,0.0101,100.0,11.0538,100.0,2.22,3780,ok,,ReactDCC
SA4,scenario,highway,456,101.716,0.0179,100.0,8.4908,100.0,2.15,3433,ok,,ReactDCC
SA4,scenario,highway,42,100.0,0.0136,100.0,10.4247,100.0,2.03,3026,ok,,ReactDCC
SA4,scenario,highway,123,102.41,0.0101,100.0,11.0538,100.0,2.14,3780,ok,,ReactDCC
SA4,scenario,highway,456,101.716,0.0179,100.0,8.4908,100.0,2.16,3433,ok,,ReactDCC
SA4,scenario,highway,42,100.0,0.0136,100.0,10.4247,100.0,2.09,3026,ok,,ReactDCC
SA4,scenario,highway,123,102.41,0.0101,100.0,11.0538,100.0,2.22,3780,ok,,ReactDCC
SA4,scenario,highway,456,263.472,0.0236,100.0,7.2763,100.0,2.31,4525,ok,,ReactDCC
