method,scenario,seed,runtime_sec,n_cam_events,CBR_mean,AoI_mean,PDR_mean,energy_efficiency,ETSI_compliance
BL-A,urban_grid,42,1778.49,1676581,0.5064,389.571,100.0,5.7343,100.0
BL-A,urban_grid,123,1831.55,1690125,0.5066,393.959,100.0,5.6752,100.0
BL-A,urban_grid,456,1778.76,1663373,0.5064,397.894,100.0,5.7102,100.0
BL-B,urban_grid,42,1775.74,1676933,0.5116,375.961,100.0,5.7355,100.0
BL-B,urban_grid,123,1859.75,1690420,0.5114,383.422,100.0,5.6762,100.0
BL-B,urban_grid,456,1774.1,1663670,0.5114,383.493,100.0,5.7112,100.0
BL-C,urban_grid,42,1670.83,1338097,0.4097,496.873,100.0,4.5766,100.0
BL-C,urban_grid,123,1731.98,1349215,0.4099,503.123,100.0,4.5304,100.0
BL-C,urban_grid,456,1676.77,1328060,0.4099,504.226,100.0,4.5591,100.0
BL-D,urban_grid,42,1934.5,2023722,0.6208,319.94,100.0,6.9216,100.0
BL-D,urban_grid,123,1986.36,2040350,0.6208,322.235,100.0,6.8512,100.0
BL-D,urban_grid,456,1906.62,2007301,0.6209,323.719,100.0,6.8909,100.0
