저널 IF 랭킹 600,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
저널명,약어,기관,ISSN,eISSN,카테고리,2025 JIF,JIF Rank,JCR %,적합성 검토
IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,IEEE,,1553-877X,"COMPUTER SCIENCE, INFORMATION SYSTEMS",50.6,1/266,0.0037593984962406013,가능 (서베이/매거진 형식으로 작성)
Nature Electronics,NAT ELECTRON,NATURE PORTFOLIO,2520-1131,2520-1131,"ENGINEERING, ELECTRICAL & ELECTRONIC",42.3,1/369,0.0027100271002710027,불일치 (반도체/전자 소자 하드웨어 주력)
PROCEEDINGS OF THE IEEE,P IEEE,IEEE,0018-9219,1558-2256,"ENGINEERING, ELECTRICAL & ELECTRONIC",30.9,3/369,0.008130081300813009,가능 (서베이/매거진 형식으로 작성)
Nature Machine Intelligence,NAT MACH INTELL,NATURE PORTFOLIO,,2522-5839,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",29.8,2/210,0.009523809523809525,가능 (기존 통신 응용을 넘어선 AI 알고리즘 자체의 독창성 입증 필수)
Green Energy and Intelligent Transportation,GREEN ENERGY INTELL,ELSEVIER,2097-2512,2773-1537,TRANSPORTATION SCIENCE & TECHNOLOGY,21.5,1/80,0.0125,불일치 (배터리/전력망/에너지 하드웨어 주력)
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,IEEE COMPUTER SOC,0162-8828,1939-3539,"ENGINEERING, ELECTRICAL & ELECTRONIC",20.4,4/369,0.01084010840108401,가능 (자율주행 비전/멀티센서 융합 관점 포함 필수)
Radiology-Artificial Intelligence,RADIOL-ARTIF INTELL,RADIOLOGICAL SOC NORTH AMERICA (RSNA),2638-6100,2638-6100,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",20.1,5/210,0.023809523809523808,불일치 (의료/생명과학 주력)
ARTIFICIAL INTELLIGENCE REVIEW,ARTIF INTELL REV,SPRINGER,0269-2821,1573-7462,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",18.8,6/210,0.02857142857142857,가능 (서베이/매거진 형식으로 작성)
eTransportation,ETRANSPORTATION,ELSEVIER,2590-1168,2590-1168,"ENGINEERING, ELECTRICAL & ELECTRONIC",18.7,5/369,0.013550135501355014,불일치 (배터리/전력망/에너지 하드웨어 주력)
Computer Science Review,COMPUT SCI REV,ELSEVIER,1574-0137,1876-7745,"COMPUTER SCIENCE, INFORMATION SYSTEMS",17.5,2/266,0.007518796992481203,가능 (서베이/매거진 형식으로 작성)
Information Fusion,INFORM FUSION,ELSEVIER,1566-2535,1872-6305,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",17.4,7/210,0.03333333333333333,가능 (통신 시스템/알고리즘 기여도 어필)
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,IEEE J SEL AREA COMM,IEEE,0733-8716,1558-0008,TELECOMMUNICATIONS,16.8,2/127,0.015748031496062992,가능 (통신 시스템/알고리즘 기여도 어필)
Artificial Intelligence in Agriculture,ARTIF INTELL AGR,KEAI PUBLISHING LTD,2097-2113,2589-7217,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",16.1,8/210,0.0380952380952381,불일치 (농업/스마트팜 주력)
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE T EVOLUT COMPUT,IEEE,1089-778X,1941-0026,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",15.9,9/210,0.04285714285714286,가능 (기존 통신 응용을 넘어선 AI 알고리즘 자체의 독창성 입증 필수)
